Case ID,Round,FeatGender,FeatPartyID,FeatEUIntegration,FeatScandal,Chosen Candidate,UK Citizen,Prime Minister,Vote Last 5 Yrs,Age,Party ID,Party Strength,Gender,EU Integration,Education,IPAddress,online,Same Choice
1,1,Female,Labour Party,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,1,Female,Conservative Party,Neutral,Plagiarism,0,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,2,Female,Conservative Party,Neutral,Sexual Harassment,0,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,2,Female,Liberal Democrats,Oppose EU Integration,Having an Extramarital Affair,1,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,3,Female,Liberal Democrats,Oppose EU Integration,Sexual Harassment,0,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,3,Male,Labour Party,Neutral,Having an Extramarital Affair,1,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,4,Female,Conservative Party,Neutral,Having an Extramarital Affair,1,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,4,Male,Labour Party,Neutral,Sexual Harassment,0,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,5,Male,Labour Party,Support EU Integration,Sexual Harassment,1,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,5,Female,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,6,Male,Liberal Democrats,Neutral,Sexual Harassment,0,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
1,6,Female,Labour Party,Neutral,Plagiarism,1,1,1,1,1,2,3,1,6,3,155.245.29.130,1,0
2,1,Male,Conservative Party,Support EU Integration,Plagiarism,0,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,1,Male,Labour Party,Neutral,Having an Extramarital Affair,1,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,2,Male,Labour Party,Neutral,Having an Extramarital Affair,0,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,2,Male,Labour Party,Support EU Integration,No Scandal,1,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,3,Female,Labour Party,Oppose EU Integration,Plagiarism,0,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,3,Female,Labour Party,Oppose EU Integration,No Scandal,1,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,4,Female,Conservative Party,Support EU Integration,Misreporting Funds,0,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,4,Male,Labour Party,Oppose EU Integration,Misreporting Funds,1,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,5,Female,Labour Party,Oppose EU Integration,Misreporting Funds,0,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,5,Male,Liberal Democrats,Neutral,Plagiarism,1,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,6,Male,Liberal Democrats,Support EU Integration,Sexual Harassment,0,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
2,6,Female,Liberal Democrats,Neutral,No Scandal,1,1,1,1,1,1,4,1,4,3,217.68.254.137,1,0
3,1,Female,Liberal Democrats,Support EU Integration,Misreporting Funds,0,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,1,Female,Liberal Democrats,Support EU Integration,Plagiarism,1,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,2,Female,Conservative Party,Oppose EU Integration,Plagiarism,1,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,2,Male,Liberal Democrats,Neutral,Plagiarism,0,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,3,Female,Labour Party,Support EU Integration,Having an Extramarital Affair,1,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
3,3,Female,Labour Party,Oppose EU Integration,Sexual Harassment,0,1,1,1,1,7,0,2,6,3,62.255.36.196,1,0
