IPAddress,UK Citizen,Prime Minister,Vote Last 5 Yrs,Age,Party ID,Party Strength,Gender,EU Integration,Education
155.245.28.4,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Male,Support EU Integration,Master or Ph.D.
155.245.28.2,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Female,Support EU Integration,University graduate or some university
155.245.28.10,Yes,Theresa May,Yes,18-29,Labour Party,Very strong,Female,Strongly support EU Integration,University graduate or some university
155.245.28.8,Yes,Theresa May,Yes,18-29,No affiliation,,Male,Strongly support EU Integration,University graduate or some university
155.245.28.4,Yes,Theresa May,Yes,18-29,Conservative Party,Slightly strong,Female,Strongly support EU Integration,University graduate or some university
155.245.28.2,Yes,Theresa May,No,18-29,Labour Party,Moderately strong,Male,Support EU Integration,Master or Ph.D.
155.245.28.9,Yes,Theresa May,No,18-29,Labour Party,Slightly strong,Female,Support EU Integration,Master or Ph.D.
155.245.28.10,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Male,Support EU Integration,University graduate or some university
155.245.28.2,Yes,Theresa May,No,18-29,Labour Party,Very strong,Male,Support EU Integration,University graduate or some university
155.245.28.8,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Female,Strongly support EU Integration,University graduate or some university
155.245.28.14,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Female,Strongly support EU Integration,University graduate or some university
155.245.28.10,Yes,Theresa May,Yes,18-29,Liberal Democrats,Slightly strong,Female,Slightly support EU Integration,University graduate or some university
155.245.28.4,Yes,Theresa May,Yes,18-29,No affiliation,,Male,Slightly support EU Integration,University graduate or some university
155.245.28.9,Yes,Theresa May,Yes,60 and above,Labour Party,Moderately strong,Female,Oppose EU Integration,University graduate or some university
155.245.28.11,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Female,Strongly support EU Integration,Secondary school graduate or some secondary school
155.245.28.10,Yes,Theresa May,No,18-29,Labour Party,Slightly strong,Female,Strongly support EU Integration,University graduate or some university
155.245.28.4,Yes,David Cameron,No,18-29,Conservative Party,Moderately strong,Male,Oppose EU Integration,Secondary school graduate or some secondary school
155.245.28.8,Yes,Theresa May,Yes,40-49,No affiliation,,Female,Neither support nor oppose,University graduate or some university
155.245.28.12,Yes,Theresa May,Yes,30-39,Liberal Democrats,Moderately strong,Female,Strongly support EU Integration,Secondary school graduate or some secondary school
