IPAddress,UK Citizen,Prime Minister,Vote Last 5 Yrs,Age,Party ID,Party Strength,Gender,EU Integration,Education
155.245.29.130,Yes,Theresa May,Yes,18-29,Conservative Party,Moderately strong,Female,Oppose EU Integration,University graduate or some university
217.68.254.137,Yes,Theresa May,Yes,18-29,Labour Party,Slightly strong,Female,Neither support nor oppose,University graduate or some university
82.27.112.61,Yes,Theresa May,Yes,18-29,Labour Party,Extremely strong,Male,Slightly oppose EU Integration,University graduate or some university
155.245.58.127,Yes,Theresa May,Yes,40-49,Labour Party,Moderately strong,Female,Support EU Integration,University graduate or some university
86.147.203.180,Yes,Theresa May,Yes,50-59,Conservative Party,Moderately strong,Male,Support EU Integration,University graduate or some university
82.132.227.74,Yes,Theresa May,Yes,40-49,Conservative Party,Very strong,Male,Oppose EU Integration,Secondary school graduate or some secondary school
77.111.247.72,Yes,Theresa May,Yes,30-39,Conservative Party,Slightly strong,Male,Strongly support EU Integration,University graduate or some university
86.132.231.179,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Female,Support EU Integration,University graduate or some university
86.167.232.130,Yes,Theresa May,Yes,30-39,Labour Party,Moderately strong,Female,Strongly support EU Integration,University graduate or some university
86.30.98.84,Yes,Theresa May,Yes,40-49,Labour Party,Slightly strong,Male,Strongly support EU Integration,University graduate or some university
86.148.156.140,Yes,Theresa May,Yes,60 and above,Green Party,Slightly strong,Female,Neither support nor oppose,University graduate or some university
31.221.65.146,Yes,Theresa May,Yes,30-39,Liberal Democrats,Moderately strong,Female,Oppose EU Integration,University graduate or some university
81.109.254.163,Yes,Theresa May,Yes,18-29,Labour Party,Slightly strong,Female,Strongly support EU Integration,University graduate or some university
5.151.215.96,Yes,Theresa May,Yes,18-29,Green Party,Moderately strong,Female,Strongly support EU Integration,Master or Ph.D.
86.12.161.20,Yes,Theresa May,Yes,18-29,No affiliation,,Female,Support EU Integration,University graduate or some university
86.1.190.190,Yes,Theresa May,Yes,40-49,Liberal Democrats,Slightly strong,Female,Slightly oppose EU Integration,University graduate or some university
86.1.186.170,Yes,Theresa May,Yes,30-39,Green Party,Moderately strong,Female,Neither support nor oppose,University graduate or some university
155.245.59.228,Yes,Theresa May,Yes,40-49,Conservative Party,Moderately strong,Female,Strongly support EU Integration,Master or Ph.D.
81.154.34.58,Yes,Theresa May,Yes,30-39,Conservative Party,Slightly strong,Female,Support EU Integration,Secondary school graduate or some secondary school
82.71.32.36,Yes,Theresa May,Yes,30-39,Conservative Party,Moderately strong,Female,Support EU Integration,Master or Ph.D.
94.193.118.68,Yes,Theresa May,No,18-29,No affiliation,,Female,Neither support nor oppose,University graduate or some university
86.14.187.92,Yes,Theresa May,Yes,18-29,Labour Party,Extremely strong,Female,Neither support nor oppose,University graduate or some university
85.255.237.90,Yes,Theresa May,Yes,18-29,Conservative Party,Slightly strong,Female,Strongly support EU Integration,University graduate or some university
86.30.73.93,Yes,Theresa May,Yes,40-49,Conservative Party,Moderately strong,Female,Slightly oppose EU Integration,University graduate or some university
151.224.218.189,Yes,Theresa May,Yes,18-29,Conservative Party,Moderately strong,Female,Support EU Integration,University graduate or some university
94.197.120.183,Yes,Theresa May,No,18-29,Conservative Party,Very strong,Male,Oppose EU Integration,Secondary school graduate or some secondary school
176.251.88.148,Yes,Theresa May,No,30-39,Conservative Party,Slightly strong,Female,Neither support nor oppose,Secondary school graduate or some secondary school
86.1.184.96,Yes,Theresa May,Yes,30-39,Labour Party,Slightly strong,Female,Neither support nor oppose,Secondary school graduate or some secondary school
5.66.54.47,Yes,Theresa May,Yes,30-39,Labour Party,Slightly strong,Female,Support EU Integration,University graduate or some university
95.149.130.5,Yes,Theresa May,Yes,30-39,United Kingdom Independence Party,Moderately strong,Female,Oppose EU Integration,Secondary school graduate or some secondary school
213.205.251.30,Yes,Theresa May,Yes,30-39,Conservative Party,Moderately strong,Female,Slightly support EU Integration,University graduate or some university
82.153.105.239,Yes,Theresa May,Yes,50-59,No affiliation,,Female,Strongly support EU Integration,University graduate or some university
155.245.43.5,Yes,Theresa May,Yes,18-29,Labour Party,Slightly strong,Female,Support EU Integration,Master or Ph.D.
86.1.185.63,Yes,Theresa May,Yes,50-59,United Kingdom Independence Party,Very strong,Female,Oppose EU Integration,Secondary school graduate or some secondary school
82.26.186.122,Yes,Theresa May,Yes,18-29,Labour Party,Moderately strong,Male,Slightly oppose EU Integration,University graduate or some university
155.245.52.75,Yes,Theresa May,Yes,18-29,Liberal Democrats,Very strong,Female,Support EU Integration,University graduate or some university
213.205.251.21,Yes,Theresa May,Yes,30-39,No affiliation,,Male,Strongly oppose EU Integration,University graduate or some university
62.172.163.242,Yes,Theresa May,Yes,30-39,No affiliation,,Female,Slightly oppose EU Integration,University graduate or some university
88.96.54.126,Yes,Theresa May,Yes,30-39,No affiliation,,Female,Neither support nor oppose,Secondary school graduate or some secondary school
90.221.94.253,Yes,Theresa May,Yes,18-29,Labour Party,Very strong,Female,Strongly support EU Integration,University graduate or some university
155.245.59.27,Yes,Theresa May,Yes,40-49,No affiliation,,Female,Neither support nor oppose,Secondary school graduate or some secondary school
