IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4
155.245.28.4,100,22,TRUE,2018/4/24 03:02,R_1CscnnV84C5IPik,,,,,51.90859985,0.920898438,anonymous,EN,8.245,9.174,11.209,2,Candidate 2,8.942,8.942,10.358,1,Candidate 1,Gender,Male,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Female,Labour Party,No Scandal,Oppose EU Integration,Gender,Male,Party Affiliation,Conservative Party,Scandal,No Scandal,EU Integration,Neutral,Female,Labour Party,No Scandal,Oppose EU Integration
155.245.28.2,100,28,TRUE,2018/4/24 03:02,R_6y7h0E84ryeSupH,,,,,51.90859985,0.920898438,anonymous,EN,19.722,19.722,21.996,1,Candidate 1,4.042,4.042,5.855,1,Candidate 1,Gender,Female,Scandal,No Scandal,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Male,Plagiarism,Liberal Democrats,Neutral,Gender,Female,Scandal,Misreporting Funds,Party Affiliation,Labour Party,EU Integration,Neutral,Male,Having an Extramarital Affair,Conservative Party,Oppose EU Integration
155.245.28.10,100,15,TRUE,2018/4/24 03:03,R_27pqMw4RvXvjYpK,,,,,51.90859985,0.920898438,anonymous,EN,8.896,8.896,9.975,1,Candidate 1,3.786,3.786,5.161,1,Candidate 1,Gender,Male,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Scandal,No Scandal,Male,Conservative Party,Neutral,Plagiarism,Gender,Female,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Female,Labour Party,Oppose EU Integration,Misreporting Funds
155.245.28.8,100,28,TRUE,2018/4/24 03:08,R_vJmAFvKHFSl8PDj,,,,,51.90859985,0.920898438,anonymous,EN,12.041,12.041,13.1,1,Candidate 2,14.551,14.551,15.459,1,Candidate 1,EU Integration,Neutral,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Female,Neutral,Labour Party,Plagiarism,Female,EU Integration,Neutral,Party Affiliation,Labour Party,Scandal,Plagiarism,Gender,Male,Neutral,Liberal Democrats,Sexual Harassment,Female
155.245.28.4,100,18,TRUE,2018/4/24 03:31,R_1gcgDR6MzLBuRHf,,,,,51.90859985,0.920898438,anonymous,EN,7.248,8.684,9.308,2,Candidate 1,8.142,8.142,9.037,1,Candidate 1,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Labour Party,Gender,Female,Misreporting Funds,Oppose EU Integration,Labour Party,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Gender,Male,Plagiarism,Oppose EU Integration,Labour Party,Male
155.245.28.2,100,22,TRUE,2018/4/24 03:31,R_21EUNdUgrJvlvYp,,,,,51.90859985,0.920898438,anonymous,EN,7.678,7.678,8.758,1,Candidate 1,9.564,13.25,14.018,2,Candidate 1,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Labour Party,Gender,Female,Neutral,Plagiarism,Liberal Democrats,Female,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Gender,Female,Oppose EU Integration,Sexual Harassment,Labour Party,Male
155.245.28.9,100,18,TRUE,2018/4/24 03:32,R_2QGMFXopng7xlkR,,,,,51.90859985,0.920898438,anonymous,EN,6.86,6.86,8.66,1,Candidate 1,7.02,7.02,8.484,1,Candidate 1,Scandal,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,Male,Neutral,Liberal Democrats,Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,Male,Oppose EU Integration,Conservative Party
155.245.28.10,100,27,TRUE,2018/4/24 03:32,R_2Vf3eFwzW1qDKaG,,,,,51.90859985,0.920898438,anonymous,EN,7.27,7.27,10.371,1,Candidate 1,15.999,15.999,16.943,1,Candidate 2,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Labour Party,Female,Oppose EU Integration,Having an Extramarital Affair,Liberal Democrats,Gender,Male,EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Male,Support EU Integration,No Scandal,Conservative Party
155.245.28.2,100,21,TRUE,2018/4/24 04:02,R_1ISo70d2nA1a8Ig,,,,,51.90859985,0.920898438,anonymous,EN,7.726,7.726,10.38,1,Candidate 1,9.885,9.885,11.187,1,Candidate 1,Party Affiliation,Labour Party,Gender,Female,Scandal,No Scandal,EU Integration,Oppose EU Integration,Labour Party,Female,Misreporting Funds,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Conservative Party,Male,No Scandal,Neutral
155.245.28.8,100,22,TRUE,2018/4/24 04:03,R_3j1M5R0rSKxLzSS,,,,,51.90859985,0.920898438,anonymous,EN,8.206,8.206,9.594,1,Candidate 1,11.163,11.163,12.434,1,Candidate 2,EU Integration,Neutral,Gender,Female,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Neutral,Male,Plagiarism,Liberal Democrats,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Plagiarism,Party Affiliation,Liberal Democrats,Support EU Integration,Male,Sexual Harassment,Labour Party
155.245.28.14,100,21,TRUE,2018/4/24 04:03,R_1Fo0FR0yXWKufFJ,,,,,51.90859985,0.920898438,anonymous,EN,8.209,8.209,10.149,1,Candidate 2,9.666,9.666,11.314,1,Candidate 2,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Female,Liberal Democrats,Misreporting Funds,Neutral,Gender,Male,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Female,Labour Party,Misreporting Funds,Neutral
155.245.28.10,100,21,TRUE,2018/4/24 04:05,R_5bThwrcOZkJgvjX,,,,,51.90859985,0.920898438,anonymous,EN,13.871,13.871,15.568,1,Candidate 1,4.311,4.311,5.749,1,Candidate 1,Party Affiliation,Liberal Democrats,Gender,Female,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Labour Party,Female,Neutral,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,EU Integration,Neutral,Scandal,Misreporting Funds,Conservative Party,Female,Support EU Integration,Sexual Harassment
155.245.28.4,100,20,TRUE,2018/4/24 04:05,R_usQf2xgR2gOcPMR,,,,,51.90859985,0.920898438,anonymous,EN,8.909,8.909,10.431,1,Candidate 1,4.416,4.416,9.683,1,Candidate 2,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Gender,Female,Liberal Democrats,Oppose EU Integration,Sexual Harassment,Female,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Liberal Democrats,Neutral,No Scandal,Female
155.245.28.9,100,31,TRUE,2018/4/24 04:07,R_25N7HqKAAfNcRgP,,,,,51.90859985,0.920898438,anonymous,EN,13.908,13.908,15.86,1,Candidate 2,14.358,14.358,15.882,1,Candidate 2,Party Affiliation,Conservative Party,Gender,Female,Scandal,Plagiarism,EU Integration,Support EU Integration,Labour Party,Female,Plagiarism,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,Scandal,Misreporting Funds,EU Integration,Neutral,Labour Party,Male,Plagiarism,Neutral
155.245.28.11,100,28,TRUE,2018/4/24 04:10,R_2P4MAAzQ2bvh6qC,,,,,51.90859985,0.920898438,anonymous,EN,6.321,6.321,19.955,1,Candidate 1,6.829,6.829,8.413,1,Candidate 2,Gender,Male,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Labour Party,Female,Sexual Harassment,Support EU Integration,Conservative Party,Gender,Male,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Female,No Scandal,Support EU Integration,Labour Party
155.245.28.10,100,34,TRUE,2018/4/24 04:33,R_OyhAAXLeDNe9uI9,,,,,51.90859985,0.920898438,anonymous,EN,10.821,10.821,13.12,1,Candidate 1,20.779,20.779,21.669,1,Candidate 1,Scandal,No Scandal,Gender,Female,EU Integration,Neutral,Party Affiliation,Labour Party,Misreporting Funds,Male,Support EU Integration,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Plagiarism,Female,Support EU Integration,Conservative Party
155.245.28.4,100,55,TRUE,2018/4/24 04:34,R_1DuTCi0QMSr2fD8,,,,,51.90859985,0.920898438,anonymous,EN,25.786,25.786,30.727,1,Candidate 2,20.274,25.355,26.806,2,Candidate 1,Party Affiliation,Liberal Democrats,Gender,Female,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Conservative Party,Female,Misreporting Funds,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Labour Party,Female,Sexual Harassment,Support EU Integration
155.245.28.8,100,13,TRUE,2018/4/24 05:36,R_YWamN2NYkH5sNzj,,,,,51.90859985,0.920898438,anonymous,EN,7.046,7.046,7.874,1,Candidate 2,2.777,2.777,4.128,1,Candidate 2,Gender,Male,Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Neutral,Male,Plagiarism,Conservative Party,Support EU Integration,Gender,Male,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,EU Integration,Support EU Integration,Female,Plagiarism,Conservative Party,Support EU Integration
155.245.28.12,100,21,TRUE,2018/4/24 06:01,R_1MSyFNdi915FRTT,,,,,51.90859985,0.920898438,anonymous,EN,7.188,7.188,8.372,1,Candidate 2,11.013,11.013,12.391,1,Candidate 2,Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Plagiarism,Male,Support EU Integration,Labour Party,Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Having an Extramarital Affair,Male,Neutral,Conservative Party
155.245.28.11,100,15,TRUE,2018/4/24 06:01,R_27rQ3Bqr41VdMuH,,,,,51.90859985,0.920898438,anonymous,EN,5.625,5.625,7.133,1,Candidate 1,6.589,6.589,7.788,1,Candidate 1,Gender,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Male,Having an Extramarital Affair,Labour Party,Neutral,Gender,Male,Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Female,Having an Extramarital Affair,Liberal Democrats,Oppose EU Integration
155.245.28.4,100,33,TRUE,2018/4/24 06:02,R_1rleJjUYVJcGvxs,,,,,51.90859985,0.920898438,anonymous,EN,15.829,15.829,20.226,1,Candidate 1,11.727,11.727,13.4,1,Candidate 2,EU Integration,Neutral,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Misreporting Funds,Oppose EU Integration,Female,Liberal Democrats,Plagiarism,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Conservative Party,Scandal,No Scandal,Oppose EU Integration,Female,Labour Party,Having an Extramarital Affair
155.245.28.13,100,69,TRUE,2018/4/24 06:04,R_3HNTYCyI9FMxEmu,,,,,51.90859985,0.920898438,anonymous,EN,32.412,33.978,36.133,2,Candidate 2,34.871,34.871,36.114,1,Candidate 1,Party Affiliation,Labour Party,Gender,Male,EU Integration,Support EU Integration,Scandal,Misreporting Funds,Labour Party,Female,Oppose EU Integration,Having an Extramarital Affair,Party Affiliation,Conservative Party,Gender,Male,EU Integration,Support EU Integration,Scandal,Plagiarism,Conservative Party,Male,Support EU Integration,Plagiarism
155.245.28.13,100,32,TRUE,2018/4/24 06:32,R_1H1cetKwxgy8Eqm,,,,,51.90859985,0.920898438,anonymous,EN,14.142,14.142,15.263,1,Candidate 2,13.981,16.103,17.437,2,Candidate 2,Gender,Female,Party Affiliation,Labour Party,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Male,Conservative Party,Having an Extramarital Affair,Support EU Integration,Gender,Female,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,EU Integration,Neutral,Female,Labour Party,No Scandal,Neutral
