IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6
155.245.28.4,100,41,TRUE,2018/4/24 03:03,R_2XhXGsm5H8tTR2n,,,,,51.90859985,0.920898438,anonymous,EN,15.362,15.362,16.104,1,Prime Minister 2,21.527,21.527,26.845,1,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,Oppose EU Integration,Plagiarism,No Scandal,Labour Party,Male,Labour Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,Neutral,Misreporting Funds,Sexual Harassment,Conservative Party,Female,Conservative Party
155.245.28.2,100,24,TRUE,2018/4/24 03:04,R_2V4JdXvl8nV8gci,,,,,51.90859985,0.920898438,anonymous,EN,11.252,11.252,13.379,1,Prime Minister 1,9.832,9.832,11.469,1,Prime Minister 2,Scandal,Having an Extranarital Affair,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Having an Extranarital Affair,Male,Conservative Party,Support EU Integration,Conservative Party,Having an Extramarital Affair,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Plagiarism,Male,Labour Party,Support EU Integration,Labour Party,No Scandal
155.245.28.10,100,37,TRUE,2018/4/24 03:06,R_bBm6aHj5cIVG2NX,,,,,51.90859985,0.920898438,anonymous,EN,7.637,7.637,8.483,1,Prime Minister 2,6.795,6.795,7.734,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Plagiarism,Neutral,Having an Extranarital Affair,Male,Conservative Party,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,Female,Conservative Party,Liberal Democrats
155.245.28.8,100,29,TRUE,2018/4/24 03:11,R_2Eo3G6aJOFzR89X,,,,,51.90859985,0.920898438,anonymous,EN,8.329,8.329,9.098,1,Prime Minister 1,18.635,18.635,19.919,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Gender,Female,Labour Party,No Scandal,Oppose EU Integration,No Scandal,Labour Party,Female,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Female,Labour Party,Having an Extranarital Affair,Support EU Integration,No Scandal,Labour Party,Male
155.245.28.4,100,62,TRUE,2018/4/24 03:32,R_Ox8jb8OvOl3Omt3,,,,,51.90859985,0.920898438,anonymous,EN,15.099,15.099,16.582,1,Prime Minister 2,46.892,46.892,48.304,1,Prime Minister 2,EU Integration,Support EU Integration,Gender,Female,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Party Affiliation,Conservative Party,Neutral,Male,No Scandal,Conservative Party,No Scandal,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,Neutral,Female,Having an Extramarital Affair,Conservative Party,Having an Extranarital Affair,Conservative Party
155.245.28.2,100,31,TRUE,2018/4/24 03:33,R_30vFQcawSaOVvJ7,,,,,51.90859985,0.920898438,anonymous,EN,11.85,11.85,12.85,1,Prime Minister 1,15.137,15.765,19.292,2,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,EU Integration,Support EU Integration,Gender,Female,Having an Extramarital Affair,Conservative Party,Conservative Party,No Scandal,Oppose EU Integration,Female,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Female,No Scandal,Labour Party,Labour Party,Plagiarism,Neutral,Female
155.245.28.9,100,28,TRUE,2018/4/24 03:34,R_2uU3bRSDZHakLfG,,,,,51.90859985,0.920898438,anonymous,EN,12.484,12.484,14.738,1,Prime Minister 1,13.186,13.186,14.432,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Liberal Democrats,Plagiarism,Male,Oppose EU Integration,Plagiarism,Conservative Party,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,Labour Party,Plagiarism,Female,Oppose EU Integration,Misreporting Funds,Labour Party
155.245.28.10,100,42,TRUE,2018/4/24 03:34,R_3QF2qneQ51LNaUA,,,,,51.90859985,0.920898438,anonymous,EN,15.596,15.596,17.083,1,Prime Minister 2,25.267,25.267,26.535,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Having an Extranarital Affair,Gender,Female,EU Integration,Oppose EU Integration,Misreporting Funds,Labour Party,Labour Party,Plagiarism,Female,Oppose EU Integration,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,Gender,Female,EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,Liberal Democrats,Misreporting Funds,Male,Support EU Integration
155.245.28.2,100,59,TRUE,2018/4/24 04:05,R_PwEApCJiUzOFEKB,,,,,51.90859985,0.920898438,anonymous,EN,41.575,46.179,47.183,2,Prime Minister 1,14.206,14.206,14.908,1,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Female,Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Plagiarism,Conservative Party,Oppose EU Integration,Male,Having an Extranarital Affair,Liberal Democrats,Misreporting Funds,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Conservative Party,Support EU Integration,Female,No Scandal,Conservative Party,Sexual Harassment
155.245.28.8,100,21,TRUE,2018/4/24 04:05,R_1F9QNmxrftzG53j,,,,,51.90859985,0.920898438,anonymous,EN,10.316,10.316,11.403,1,Prime Minister 2,8.568,8.568,9.375,1,Prime Minister 2,Minister's Partisanship,Conservative Party,Scandal,Plagiarism,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Labour Party,No Scandal,Female,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,Liberal Democrats,Plagiarism,Female,Support EU Integration,Conservative Party,Having an Extramarital Affair
