,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
1,155.245.28.4,100,73,TRUE,2018/4/24 03:07,R_2BfIyuqL55fDgPY,,,,,51.90859985,0.920898438,anonymous,EN,10.471,10.471,11.205,1,Minister 1,13.099,14.405,14.962,3,Minister 1,PM's Position in EU Integration,Support EU Integration,Scandal,Plagiarism,PM's Scandal,Misreporting Funds,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,Neutral,Plagiarism,Sexual Harassment,Support EU Integration,Conservative Party,Male,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Liberal Democrats,Neutral,Sexual Harassment,Sexual Harassment,Neutral,Conservative Party,Male,Liberal Democrats
2,155.245.28.2,100,90,TRUE,2018/4/24 03:07,R_2CjqtA0XVk7JLs4,,,,,51.90859985,0.920898438,anonymous,EN,15.847,15.847,16.714,1,Minister 1,6.861,6.861,7.914,1,Minister 2,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,Plagiarism,Conservative Party,Plagiarism,Neutral,Oppose EU Integration,Female,Conservative Party,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,Having an Extramarital Affair,Conservative Party,Plagiarism,Neutral,Support EU Integration,Male,Liberal Democrats
3,155.245.28.10,100,66,TRUE,2018/4/24 03:09,R_DdifJ1AyvhOL6cp,,,,,51.90859985,0.920898438,anonymous,EN,5.309,5.309,7.564,1,Minister 1,6.515,6.515,7.575,1,Minister 2,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Conservative Party,Male,Conservative Party,Sexual Harassment,Support EU Integration,Plagiarism,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Labour Party,Female,Labour Party,Misreporting Funds,Neutral,No Scandal,Neutral
4,155.245.28.8,100,82,TRUE,2018/4/24 03:14,R_2rjQf2w6FC1DG1T,,,,,51.90859985,0.920898438,anonymous,EN,8.679,8.679,9.987,1,Minister 1,7.219,7.219,8.515,1,Minister 2,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Female,Oppose EU Integration,Sexual Harassment,Neutral,Conservative Party,Having an Extramarital Affair,Conservative Party,Female,EU Integration,Support EU Integration,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Gender,Male,Support EU Integration,Having an Extramarital Affair,Neutral,Labour Party,Misreporting Funds,Labour Party,Female
5,155.245.28.4,100,68,TRUE,2018/4/24 03:36,R_1QbGAyyPp0bUJK5,,,,,51.90859985,0.920898438,anonymous,EN,8.208,8.208,9.28,1,Minister 2,8.51,8.51,9.486,1,Minister 1,Party Affiliation,Labour Party,Gender,Female,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Conservative Party,Male,Having an Extramarital Affair,Support EU Integration,Conservative Party,Support EU Integration,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Liberal Democrats,Female,Having an Extramarital Affair,Support EU Integration,Conservative Party,Oppose EU Integration,Having an Extramarital Affair
6,155.245.28.2,100,68,TRUE,2018/4/24 03:37,R_3hfnvN7oa52wC4D,,,,,51.90859985,0.920898438,anonymous,EN,11.119,11.119,11.97,1,Minister 2,5.022,5.022,6.623,1,Minister 2,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Gender,Male,Scandal,Plagiarism,Oppose EU Integration,Neutral,Labour Party,Labour Party,Plagiarism,Male,Plagiarism,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Gender,Male,Scandal,Plagiarism,Neutral,Oppose EU Integration,Labour Party,Labour Party,Plagiarism,Female,Having an Extramarital Affair
7,155.245.28.9,100,100,TRUE,2018/4/24 03:38,R_1lzp5w12LqPQfNp,,,,,51.90859985,0.920898438,anonymous,EN,10.622,10.622,12.07,1,Minister 2,21.151,21.151,22.408,1,Minister 2,Gender,Female,EU Integration,Neutral,Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Female,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Sexual Harassment,Conservative Party,Oppose EU Integration,Gender,Male,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Male,Support EU Integration,Sexual Harassment,Labour Party,Misreporting Funds,Labour Party,Support EU Integration
8,155.245.28.10,100,93,TRUE,2018/4/24 03:39,R_1EgMWx0FLu4640D,,,,,51.90859985,0.920898438,anonymous,EN,2.342,18.085,19.484,4,Minister 1,3.72,12.399,15.097,2,Minister 1,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Labour Party,Conservative Party,Having an Extramarital Affair,Neutral,Having an Extramarital Affair,Neutral,Male,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Conservative Party,Plagiarism,Oppose EU Integration,Sexual Harassment,Support EU Integration,Female,Conservative Party
9,155.245.28.2,100,84,TRUE,2018/4/24 04:09,R_1FhWfYvnQu0jBR4,,,,,51.90859985,0.920898438,anonymous,EN,12.618,13.519,13.988,2,Minister 2,12.447,12.447,13.983,1,Minister 2,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,No Scandal,Labour Party,Male,Labour Party,Oppose EU Integration,Support EU Integration,Misreporting Funds,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Gender,Male,Party Affiliation,Labour Party,EU Integration,Support EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Sexual Harassment,Plagiarism,Labour Party,Male,Labour Party,Oppose EU Integration,Neutral,No Scandal
10,155.245.28.8,100,93,TRUE,2018/4/24 04:09,R_2QDwvkhUEPlY8nm,,,,,51.90859985,0.920898438,anonymous,EN,20.689,20.689,22.24,1,Minister 1,11.229,11.229,12.192,1,Minister 2,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Female,Support EU Integration,Sexual Harassment,Oppose EU Integration,Conservative Party,Conservative Party,No Scandal,Gender,Female,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,Female,Support EU Integration,Plagiarism,Neutral,Labour Party,Labour Party,Having an Extramarital Affair
