,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
1,155.245.28.2,100,42,TRUE,2018/4/24 03:05,R_1hWurpQqDomV1cE,,,,,51.90859985,0.920898438,anonymous,EN,0,0,7.971,0,23.401,23.401,24.267,1,Minister 1,8.441,8.441,9.884,1,Minister 1,Gender,Male,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Sexual Harassment,Oppose EU Integration,Conservative Party,Misreporting Funds,Oppose EU Integration,Liberal Democrats,Gender,Female,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Labour Party,Female,Plagiarism,Oppose EU Integration,Labour Party,Sexual Harassment,Support EU Integration,Labour Party
2,155.245.28.4,100,47,TRUE,2018/4/24 03:05,R_3G7LEN4kXhoMb77,,,,,51.90859985,0.920898438,anonymous,EN,0,0,21.095,0,12.773,13.641,14.035,2,Minister 2,10.097,11.836,12.397,3,Minister 2,Scandal,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Female,Misreporting Funds,Neutral,Liberal Democrats,Having an Extramarital Affair,Conservative Party,Neutral,Male,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Plagiarism,Support EU Integration,Labour Party,Having an Extramarital Affair,Labour Party,Support EU Integration,Female
3,155.245.28.10,100,43,TRUE,2018/4/24 03:07,R_3DhHhxcEUx6PoSn,,,,,51.90859985,0.920898438,anonymous,EN,0,0,8.282,0,16.713,16.713,17.854,1,Minister 1,15.691,15.691,17.107,1,Minister 2,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Gender,Male,Oppose EU Integration,Labour Party,No Scandal,Support EU Integration,Sexual Harassment,Labour Party,Female,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,Gender,Male,Neutral,Conservative Party,Sexual Harassment,Support EU Integration,Having an Extramarital Affair,Conservative Party,Female
4,155.245.28.8,100,52,TRUE,2018/4/24 03:12,R_0pJLkAr9CoWbsQh,,,,,51.90859985,0.920898438,anonymous,EN,0,0,3.386,0,37.9,37.9,38.677,1,Minister 2,10.465,11.193,11.737,2,Minister 1,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Gender,Female,EU Integration,Neutral,Plagiarism,Support EU Integration,Labour Party,Labour Party,Misreporting Funds,Male,Neutral,PM's Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Gender,Male,EU Integration,Support EU Integration,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Labour Party,No Scandal,Female,Oppose EU Integration
5,155.245.28.4,100,52,TRUE,2018/4/24 03:34,R_0rl8CNw1tMxwihH,,,,,51.90859985,0.920898438,anonymous,EN,0,0,27.266,0,15.624,15.624,16.384,1,Minister 1,7.987,7.987,9.087,1,Minister 2,Gender,Male,PM's Position in EU Integration,Neutral,PM's Scandal,Misreporting Funds,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,EU Integration,Support EU Integration,Scandal,No Scandal,Male,Neutral,Sexual Harassment,Labour Party,Labour Party,Support EU Integration,Plagiarism,Gender,Female,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Sexual Harassment,Female,Support EU Integration,Misreporting Funds,Conservative Party,Conservative Party,Support EU Integration,Sexual Harassment
6,155.245.28.9,100,68,TRUE,2018/4/24 03:36,R_1dgVC1Ub8UyJRby,,,,,51.90859985,0.920898438,anonymous,EN,0,0,41.74,0,17.213,17.213,19.562,1,Minister 1,8.429,8.429,9.494,1,Minister 2,Scandal,Misreporting Funds,PM's Scandal,Sexual Harassment,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Female,Having an Extramarital Affair,Having an Extramarital Affair,Support EU Integration,Conservative Party,Support EU Integration,Conservative Party,Male,Scandal,Plagiarism,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,Sexual Harassment,Having an Extramarital Affair,Neutral,Conservative Party,Support EU Integration,Conservative Party,Female
7,155.245.28.2,100,110,TRUE,2018/4/24 03:36,R_2eQLCvkILdcyWev,,,,,51.90859985,0.920898438,anonymous,EN,0,0,42.971,0,26.643,27.234,28.733,2,Minister 2,34.058,41.326,42.446,3,Minister 1,PM's Partisanship,Conservative Party,Gender,Female,PM's Position in EU Integration,Support EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Conservative Party,Female,Neutral,Misreporting Funds,Liberal Democrats,Plagiarism,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,EU Integration,Support EU Integration,Labour Party,Female,Support EU Integration,Sexual Harassment,Labour Party,No Scandal,Neutral
8,155.245.28.10,100,132,TRUE,2018/4/24 03:37,R_28SD9KiayDEYV66,,,,,51.90859985,0.920898438,anonymous,EN,19.738,19.738,54.278,1,21.324,21.324,22.33,1,Minister 1,61.416,61.416,62.224,1,Minister 2,Gender,Male,EU Integration,Neutral,PM's Scandal,Misreporting Funds,Scandal,No Scandal,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Female,Neutral,Plagiarism,Plagiarism,Conservative Party,Conservative Party,Support EU Integration,Gender,Female,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,Scandal,No Scandal,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,PM's Position in EU Integration,Oppose EU Integration,Female,Support EU Integration,Having an Extramarital Affair,Misreporting Funds,Conservative Party,Conservative Party,Neutral
9,155.245.28.2,100,69,TRUE,2018/4/24 04:07,R_25X5Zc1ZvpPBM4W,,,,,51.90859985,0.920898438,anonymous,EN,0,0,38.754,0,23.112,23.112,23.913,1,Minister 2,3.031,3.031,8.857,1,Minister 1,Party Affiliation,Labour Party,Gender,Male,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Conservative Party,Female,Neutral,Plagiarism,Conservative Party,Sexual Harassment,Support EU Integration,Party Affiliation,Labour Party,Gender,Female,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,EU Integration,Oppose EU Integration,Labour Party,Male,Support EU Integration,Having an Extramarital Affair,Labour Party,Having an Extramarital Affair,Neutral
10,155.245.28.8,100,54,TRUE,2018/4/24 04:07,R_1i4XgxlHphfoRIw,,,,,51.90859985,0.920898438,anonymous,EN,0,0,16.828,0,25.583,25.583,27.232,1,Minister 2,9.818,9.818,11.273,1,Minister 2,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,Oppose EU Integration,Misreporting Funds,Support EU Integration,Female,Labour Party,Labour Party,No Scandal,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,Oppose EU Integration,Misreporting Funds,Oppose EU Integration,Female,Labour Party,Labour Party,Plagiarism
