"","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_First.Click","Q1_Last.Click","Q1_Page.Submit","Q1_Click.Count","Q2","Q3_First.Click","Q3_Last.Click","Q3_Page.Submit","Q3_Click.Count","Q4","F.1.1","F.1.1.1","F.1.2","F.1.1.2","F.1.3","F.1.1.3","F.1.4","F.1.1.4","F.1.2.1","F.1.2.2","F.1.2.3","F.1.2.4","F.2.1","F.2.1.1","F.2.2","F.2.1.2","F.2.3","F.2.1.3","F.2.4","F.2.1.4","F.2.2.1","F.2.2.2","F.2.2.3","F.2.2.4"
"197","155.245.29.130",100,27,TRUE,"2018/6/19 03:15","R_1fZNNFueSXQarYe",NA,NA,NA,NA,51.90859985,0.920898438,"anonymous","EN",9.368,9.368,11.051,1,"Candidate 1",5.387,5.435,6.639,2,"Candidate 2","Party Affiliation","Conservative Party","Gender","Male","Scandal","Sexual Harassment","EU Integration","Support EU Integration","Liberal Democrats","Female","Sexual Harassment","Support EU Integration","Party Affiliation","Liberal Democrats","Gender","Male","Scandal","Sexual Harassment","EU Integration","Neutral","Labour Party","Female","Plagiarism","Neutral"
"198","217.68.254.137",100,23,TRUE,"2018/6/19 03:32","R_3M5pcY6sVNQkrkT",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",7.304,7.304,8.404,1,"Candidate 2",12.805,12.805,13.752,1,"Candidate 2","EU Integration","Oppose EU Integration","Scandal","Misreporting Funds","Gender","Female","Party Affiliation","Labour Party","Neutral","Plagiarism","Male","Liberal Democrats","EU Integration","Support EU Integration","Scandal","Sexual Harassment","Gender","Male","Party Affiliation","Liberal Democrats","Neutral","No Scandal","Female","Liberal Democrats"
"199","82.27.112.61",100,21,TRUE,"2018/6/19 03:44","R_yBF1wdOLl53pqH7",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",1.009,11.954,13.918,4,"Candidate 2",0.565,5.481,6.309,5,"Candidate 2","Party Affiliation","Liberal Democrats","Scandal","Misreporting Funds","Gender","Male","EU Integration","Support EU Integration","Liberal Democrats","Having an Extramarital Affair","Female","Oppose EU Integration","Party Affiliation","Labour Party","Scandal","Plagiarism","Gender","Female","EU Integration","Oppose EU Integration","Labour Party","Having an Extramarital Affair","Male","Neutral"
"200","155.245.58.127",100,18,TRUE,"2018/6/19 03:50","R_3IZgY6nzPZdyXNW",NA,NA,NA,NA,51.88279724,1.004592896,"anonymous","EN",9.986,9.986,11.722,1,"Candidate 1",5.385,5.385,6.534,1,"Candidate 2","EU Integration","Oppose EU Integration","Scandal","Having an Extramarital Affair","Party Affiliation","Liberal Democrats","Gender","Male","Oppose EU Integration","Plagiarism","Labour Party","Male","EU Integration","Oppose EU Integration","Scandal","Sexual Harassment","Party Affiliation","Liberal Democrats","Gender","Female","Support EU Integration","No Scandal","Liberal Democrats","Male"
"201","86.132.231.179",100,30,TRUE,"2018/6/19 03:52","R_24irTOnDQ9zUyTC",NA,NA,NA,NA,50.8500061,0.566696167,"anonymous","EN",10.667,11.757,13.739,2,"Candidate 1",12.554,14.185,15.836,2,"Candidate 2","Party Affiliation","Liberal Democrats","Gender","Male","EU Integration","Oppose EU Integration","Scandal","Having an Extramarital Affair","Conservative Party","Male","Neutral","Plagiarism","Party Affiliation","Conservative Party","Gender","Male","EU Integration","Oppose EU Integration","Scandal","Plagiarism","Liberal Democrats","Male","Oppose EU Integration","Having an Extramarital Affair"
"202","86.147.203.180",100,31,TRUE,"2018/6/19 03:53","R_DHMcClXxaYiUwBb",NA,NA,NA,NA,51.88330078,0.566696167,"anonymous","EN",2.144,20.806,21.463,5,"Candidate 1",8.342,8.36,9.324,2,"Candidate 1","EU Integration","Oppose EU Integration","Party Affiliation","Liberal Democrats","Gender","Female","Scandal","Having an Extramarital Affair","Support EU Integration","Labour Party","Female","Misreporting Funds","EU Integration","Neutral","Party Affiliation","Conservative Party","Gender","Male","Scandal","No Scandal","Oppose EU Integration","Labour Party","Male","Plagiarism"
"203","82.132.227.74",100,24,TRUE,"2018/6/19 03:53","R_1l0r31PQkb81djr",NA,NA,NA,NA,51.6000061,-0.066696167,"anonymous","EN",10.361,14.715,15.451,3,"Candidate 1",4.802,6.496,6.551,4,"Candidate 2","Scandal","Sexual Harassment","Party Affiliation","Conservative Party","Gender","Male","EU Integration","Support EU Integration","Misreporting Funds","Liberal Democrats","Male","Oppose EU Integration","Scandal","Sexual Harassment","Party Affiliation","Labour Party","Gender","Female","EU Integration","Neutral","Misreporting Funds","Conservative Party","Female","Oppose EU Integration"
"204","77.111.247.72",100,23,TRUE,"2018/6/19 03:58","R_3PLDcKvcfQgVPzG",NA,NA,NA,NA,47,8,"anonymous","EN",8.689,8.689,9.786,1,"Candidate 2",11.235,11.235,12.357,1,"Candidate 1","Scandal","Sexual Harassment","EU Integration","Oppose EU Integration","Gender","Male","Party Affiliation","Conservative Party","Having an Extramarital Affair","Neutral","Female","Conservative Party","Scandal","Plagiarism","EU Integration","Oppose EU Integration","Gender","Female","Party Affiliation","Liberal Democrats","Sexual Harassment","Oppose EU Integration","Female","Conservative Party"
"205","86.167.232.130",100,31,TRUE,"2018/6/19 04:00","R_Q3uNT0gsSj8vzSp",NA,NA,NA,NA,51.88330078,0.899993896,"anonymous","EN",5.027,6.511,7.887,3,"Candidate 1",11.822,20.506,21.139,4,"Candidate 1","Party Affiliation","Labour Party","EU Integration","Support EU Integration","Scandal","Plagiarism","Gender","Male","Conservative Party","Oppose EU Integration","Sexual Harassment","Male","Party Affiliation","Liberal Democrats","EU Integration","Neutral","Scandal","Misreporting Funds","Gender","Male","Liberal Democrats","Oppose EU Integration","Plagiarism","Female"
"207","86.148.156.140",100,28,TRUE,"2018/6/19 04:07","R_2tb8QmbkpOrrCtw",NA,NA,NA,NA,51.88330078,0.366699219,"anonymous","EN",9.142,9.142,10.433,1,"Candidate 1",15.714,15.714,16.837,1,"Candidate 1","EU Integration","Oppose EU Integration","Gender","Female","Scandal","Sexual Harassment","Party Affiliation","Liberal Democrats","Oppose EU Integration","Female","Sexual Harassment","Labour Party","EU Integration","Neutral","Gender","Male","Scandal","Plagiarism","Party Affiliation","Liberal Democrats","Support EU Integration","Female","Sexual Harassment","Liberal Democrats"
