,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
197,155.245.29.130,100,88,TRUE,2018/6/19 03:17,R_bDawnHVuabP414R,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,51.159,0,20.715,20.715,21.437,1,Prime Minister 2,18.699,18.699,19.698,1,Prime Minister 2,Scandal,Plagiarism,Minister's Scandal,Misreporting Funds,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,No Scandal,Having an Extramarital Affair,Labour Party,Neutral,Female,Labour Party,Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Labour Party,Misreporting Funds,Sexual Harassment,Liberal Democrats,Support EU Integration,Female,Conservative Party
198,217.68.254.137,100,49,TRUE,2018/6/19 03:33,R_33g6hFoQ0CsgXBa,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,21.065,0,9.82,9.82,10.842,1,Prime Minister 2,8.552,8.552,9.654,1,Prime Minister 2,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Gender,Female,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Conservative Party,Neutral,Misreporting Funds,Female,Liberal Democrats,Having an Extranarital Affair,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Gender,Female,Minister's Partisanship,Liberal Democrats,Scandal,No Scandal,Conservative Party,Neutral,No Scandal,Male,Conservative Party,Plagiarism
199,82.27.112.61,100,46,TRUE,2018/6/19 03:45,R_1K0TZ08jWZl0UVv,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.832,21.096,22.044,7,0.932,13.797,14.509,10,Prime Minister 2,1.457,6.781,7.853,6,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Neutral,Scandal,Plagiarism,Labour Party,Labour Party,Misreporting Funds,Male,Neutral,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Gender,Male,EU Integration,Support EU Integration,Scandal,No Scandal,Conservative Party,Conservative Party,Misreporting Funds,Female,Neutral,Sexual Harassment
200,155.245.58.127,100,61,TRUE,2018/6/19 03:51,R_2X4fl6IxoJAcqIV,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,0,0,37.138,0,9.635,9.635,11.241,1,Prime Minister 1,10.469,10.469,11.573,1,Prime Minister 1,Minister's Partisanship,Labour Party,Gender,Male,Minister's Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Conservative Party,Female,Plagiarism,Oppose EU Integration,Conservative Party,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Gender,Male,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Conservative Party,Female,Misreporting Funds,Oppose EU Integration,Conservative Party,No Scandal
201,82.132.227.74,100,56,TRUE,2018/6/19 03:54,R_11Zap0pMMwqqPll,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,4.648,12.676,19.527,5,7.336,9.736,13.991,4,Prime Minister 2,9.379,10.756,11.66,4,Prime Minister 2,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Neutral,Scandal,Plagiarism,Minister's Partisanship,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Male,Conservative Party,Oppose EU Integration,No Scandal,Conservative Party,Having an Extramarital Affair,Gender,Male,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,No Scandal,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Female,Labour Party,Oppose EU Integration,No Scandal,Labour Party,Sexual Harassment
202,86.147.203.180,100,102,TRUE,2018/6/19 03:54,R_2P7NzgzkGsBaWvY,NA,NA,NA,NA,51.88330078,0.566696167,anonymous,EN,10.517,39.178,44.769,11,12.763,41.21,44.552,4,Prime Minister 2,2.139,11.103,11.988,5,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Scandal,Having an Extranarital Affair,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Partisanship,Labour Party,Gender,Female,Having an Extramarital Affair,Misreporting Funds,Conservative Party,Neutral,Liberal Democrats,Male,Minister's Scandal,Having an Extramarital Affair,Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Gender,Male,Having an Extramarital Affair,No Scandal,Conservative Party,Oppose EU Integration,Liberal Democrats,Male
203,86.132.231.179,100,157,TRUE,2018/6/19 03:55,R_332LiAs5A6oz7yT,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,18.265,41.722,43.626,8,3.81,97.158,98.813,4,Prime Minister 1,20.814,22.191,23.381,3,Prime Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Female,Minister's Partisanship,Liberal Democrats,Scandal,Misreporting Funds,Neutral,Conservative Party,Having an Extramarital Affair,Female,Conservative Party,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Minister's Partisanship,Conservative Party,Scandal,Having an Extranarital Affair,Support EU Integration,Conservative Party,Having an Extramarital Affair,Female,Liberal Democrats,Having an Extranarital Affair
204,77.111.247.72,100,43,TRUE,2018/6/19 03:59,R_1mCxM69I9HLe6wb,NA,NA,NA,NA,47,8,anonymous,EN,0,0,17.014,0,11.115,11.115,12.261,1,Prime Minister 2,12.536,12.536,13.465,1,Prime Minister 1,Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Having an Extranarital Affair,Labour Party,Female,Labour Party,Support EU Integration,Plagiarism,Scandal,No Scandal,Minister's Partisanship,Labour Party,Gender,Female,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Scandal,Misreporting Funds,Plagiarism,Conservative Party,Male,Conservative Party,Oppose EU Integration,Plagiarism
205,86.167.232.130,100,93,TRUE,2018/6/19 04:02,R_2dRdFE13bNLdPSe,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,3.064,44.099,46.133,13,8.992,21.38,22.566,5,Prime Minister 2,2.833,21.285,21.886,5,Prime Minister 1,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Support EU Integration,No Scandal,Female,Plagiarism,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Neutral,Scandal,Misreporting Funds,Gender,Female,Minister's Scandal,No Scandal,Conservative Party,Conservative Party,Support EU Integration,Plagiarism,Male,Having an Extramarital Affair
207,86.30.98.84,100,60,TRUE,2018/6/19 04:08,R_3qpQQIwZzfRnfha,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,5.473,10.891,16.2,4,0.913,12.719,21.291,4,Prime Minister 2,1.296,11.314,12.376,6,Prime Minister 1,EU Integration,Neutral,Gender,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,Support EU Integration,Female,Liberal Democrats,Conservative Party,Plagiarism,Sexual Harassment,EU Integration,Support EU Integration,Gender,Male,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Minister's Scandal,Having an Extramarital Affair,Oppose EU Integration,Male,Conservative Party,Conservative Party,Having an Extranarital Affair,Sexual Harassment
