,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6
197,155.245.29.130,100,22,TRUE,2018/6/19 03:20,R_3khAkzrFd390L1U,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,9.253,9.253,10.953,1,Prime Minister 1,10.169,10.169,11.274,1,Prime Minister 1,Minister's Partisanship,Labour Party,Scandal,No Scandal,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Gender,Female,Labour Party,Sexual Harassment,No Scandal,Labour Party,Neutral,Male,Minister's Partisanship,Conservative Party,Scandal,No Scandal,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Male,Labour Party,No Scandal,Having an Extramarital Affair,Labour Party,Support EU Integration,Female
198,217.68.254.137,100,16,TRUE,2018/6/19 03:33,R_1rwy94tKEq0DnkI,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,6.847,6.847,8.14,1,Prime Minister 1,5.978,5.978,7.267,1,Prime Minister 1,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Misreporting Funds,EU Integration,Neutral,Sexual Harassment,Conservative Party,Liberal Democrats,Male,Misreporting Funds,Oppose EU Integration,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,No Scandal,EU Integration,Support EU Integration,Sexual Harassment,Labour Party,Labour Party,Male,Having an Extranarital Affair,Neutral
199,82.27.112.61,100,51,TRUE,2018/6/19 03:46,R_xatdHQzQXOtjyWl,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.636,22.175,22.915,7,Prime Minister 2,1.238,27.248,27.989,9,Prime Minister 1,Gender,Male,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Male,Plagiarism,Neutral,No Scandal,Labour Party,Labour Party,Gender,Female,Minister's Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Female,Misreporting Funds,Oppose EU Integration,Misreporting Funds,Labour Party,Labour Party
200,155.245.58.127,100,19,TRUE,2018/6/19 03:52,R_3fvJiCyOvZL4zGE,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,7.543,7.543,9.716,1,Prime Minister 2,6.42,6.42,7.78,1,Prime Minister 1,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Having an Extranarital Affair,EU Integration,Oppose EU Integration,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Labour Party,Female,Misreporting Funds,Oppose EU Integration,Having an Extramarital Affair,Labour Party,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,No Scandal,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Conservative Party,Male,Misreporting Funds,Support EU Integration,Plagiarism,Conservative Party
201,82.132.227.74,100,30,TRUE,2018/6/19 03:55,R_3jTDIWS3Nootk9Y,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,2.919,13.355,14.38,3,Prime Minister 1,4.416,12.033,12.45,5,Prime Minister 2,Scandal,Plagiarism,Gender,Female,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Misreporting Funds,Female,Support EU Integration,Sexual Harassment,Labour Party,Labour Party,Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,No Scandal,Female,Oppose EU Integration,Sexual Harassment,Conservative Party,Conservative Party
202,86.147.203.180,100,23,TRUE,2018/6/19 03:56,R_3KqjdZk5iMgbH1c,NA,NA,NA,NA,51.88330078,0.566696167,anonymous,EN,2.119,10.586,12.658,4,Prime Minister 2,6.554,8.396,9.242,3,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,Sexual Harassment,EU Integration,Neutral,Minister's Scandal,Misreporting Funds,Conservative Party,Liberal Democrats,Male,No Scandal,Support EU Integration,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Scandal,Sexual Harassment,Conservative Party,Conservative Party,Female,Misreporting Funds,Support EU Integration,Plagiarism
203,86.132.231.179,100,67,TRUE,2018/6/19 03:58,R_1DJ7Rk9Z3Wqvi7t,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,2.555,48.078,50.189,2,Prime Minister 2,4.628,17.267,19.545,3,Prime Minister 1,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,No Scandal,Conservative Party,Conservative Party,Having an Extramarital Affair,Female,Support EU Integration,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Sexual Harassment,Labour Party,Labour Party,Misreporting Funds,Female,Oppose EU Integration
204,77.111.247.72,100,29,TRUE,2018/6/19 04:00,R_ZjFDMYJiMec1AVb,NA,NA,NA,NA,47,8,anonymous,EN,9.797,9.797,10.607,1,Prime Minister 1,16.279,16.279,17.157,1,Prime Minister 1,Minister's Scandal,Plagiarism,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Plagiarism,Neutral,Liberal Democrats,Male,Sexual Harassment,Conservative Party,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Minister's Partisanship,Liberal Democrats,Gender,Female,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Having an Extramarital Affair,Neutral,Labour Party,Female,No Scandal,Labour Party
205,86.167.232.130,100,49,TRUE,2018/6/19 04:05,R_PwAKc5zqmsPsMud,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.298,17.14,19.553,6,Prime Minister 2,9.54,20.591,23.658,4,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Misreporting Funds,Minister's Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Conservative Party,Liberal Democrats,Plagiarism,No Scandal,Female,Oppose EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Gender,Female,EU Integration,Support EU Integration,Conservative Party,Liberal Democrats,No Scandal,No Scandal,Male,Neutral
207,86.30.98.84,100,39,TRUE,2018/6/19 04:09,R_2QuK9ehX0VXA7VD,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,3.62,28.859,29.913,4,Prime Minister 2,3.626,5.96,6.869,4,Prime Minister 2,Minister's Partisanship,Liberal Democrats,Scandal,Having an Extranarital Affair,Gender,Female,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Misreporting Funds,Labour Party,Plagiarism,Male,Labour Party,Support EU Integration,Misreporting Funds,Minister's Partisanship,Liberal Democrats,Scandal,Misreporting Funds,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Plagiarism,Female,Conservative Party,Support EU Integration,Plagiarism
