,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,Q5_First.Click,Q5_Last.Click,Q5_Page.Submit,Q5_Click.Count,Q6,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
197,155.245.29.130,100,65,TRUE,2018/6/19 03:21,R_3e3OUI40NqnDlpk,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,0,0,26.705,0,15.923,15.923,16.658,1,Minister 2,23.634,23.634,24.926,1,Minister 2,EU Integration,Neutral,Scandal,No Scandal,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Oppose EU Integration,No Scandal,Having an Extramarital Affair,Labour Party,Support EU Integration,Labour Party,Female,EU Integration,Neutral,Scandal,No Scandal,PM's Scandal,Plagiarism,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Oppose EU Integration,Having an Extramarital Affair,No Scandal,Conservative Party,Support EU Integration,Liberal Democrats,Female
198,217.68.254.137,100,72,TRUE,2018/6/19 03:35,R_8AexnoCj7fxfCs9,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0,0,15.468,0,40.824,40.824,41.8,1,Minister 2,11.112,11.112,17.163,1,Minister 2,Gender,Male,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,PM's Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Female,Conservative Party,Conservative Party,Having an Extramarital Affair,No Scandal,Oppose EU Integration,Support EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Oppose EU Integration,Male,Labour Party,Labour Party,No Scandal,Sexual Harassment,Neutral,Support EU Integration
199,82.27.112.61,100,11,TRUE,2018/6/19 03:47,R_296X2UO2cf6HG2N,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,1.831,4.204,5.068,5,0.37,1.285,1.787,3,Minister 1,0.922,0.944,1.562,2,Minister 2,PM's Position in EU Integration,Neutral,PM's Scandal,Plagiarism,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Scandal,No Scandal,Gender,Male,EU Integration,Oppose EU Integration,Neutral,Misreporting Funds,Conservative Party,Conservative Party,No Scandal,Male,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Support EU Integration,Plagiarism,Conservative Party,Conservative Party,Sexual Harassment,Male,Neutral
200,155.245.58.127,100,43,TRUE,2018/6/19 03:52,R_2flmngPd2UxXmgK,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,0,0,11.249,0,11.46,11.46,18.309,1,Minister 2,11.142,11.142,12.545,1,Minister 2,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Gender,Female,EU Integration,Support EU Integration,Labour Party,No Scandal,Labour Party,Plagiarism,Neutral,Male,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Gender,Female,EU Integration,Support EU Integration,Conservative Party,Having an Extramarital Affair,Conservative Party,No Scandal,Neutral,Female,Oppose EU Integration
201,82.132.227.74,100,67,TRUE,2018/6/19 03:56,R_3qJUUXJrFeZEqtA,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,8.357,16.384,18.868,7,9.571,15.524,18.204,4,Minister 1,4.849,10.883,14.799,5,Minister 2,EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,Oppose EU Integration,Female,Conservative Party,Neutral,Misreporting Funds,Liberal Democrats,Having an Extramarital Affair,EU Integration,Support EU Integration,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,PM's Scandal,Plagiarism,Neutral,Female,Conservative Party,Oppose EU Integration,Misreporting Funds,Liberal Democrats,Plagiarism
202,86.147.203.180,100,93,TRUE,2018/6/19 03:57,R_PAmlnSKLBvlAKU9,NA,NA,NA,NA,51.88330078,0.566696167,anonymous,EN,6.586,36.418,38.65,9,2.729,19.658,20.576,7,Minister 1,1.893,31.859,32.485,6,Minister 2,EU Integration,Oppose EU Integration,Gender,Female,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,Scandal,Misreporting Funds,Oppose EU Integration,Female,Oppose EU Integration,Labour Party,Misreporting Funds,Labour Party,Having an Extramarital Affair,EU Integration,Neutral,Gender,Male,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Scandal,No Scandal,Oppose EU Integration,Male,Support EU Integration,Conservative Party,Sexual Harassment,Conservative Party,Misreporting Funds
203,86.132.231.179,100,124,TRUE,2018/6/19 04:00,R_3PoW40Ujcb9rKvV,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,20.283,20.283,21.37,1,60.144,71.762,73.09,3,Minister 2,3.295,27.559,28.804,3,Minister 1,EU Integration,Neutral,Scandal,No Scandal,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Gender,Female,Neutral,No Scandal,Neutral,Labour Party,Plagiarism,Labour Party,Female,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Neutral,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Gender,Male,Support EU Integration,Plagiarism,Oppose EU Integration,Liberal Democrats,No Scandal,Conservative Party,Female
204,77.111.247.72,100,45,TRUE,2018/6/19 04:01,R_UW24PVj0nqEUGTD,NA,NA,NA,NA,47,8,anonymous,EN,0,0,15.116,0,9.38,9.38,11.617,1,Minister 2,11.713,11.713,12.416,1,Minister 2,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,No Scandal,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Neutral,Support EU Integration,No Scandal,Conservative Party,No Scandal,Liberal Democrats,Female,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Scandal,Sexual Harassment,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Gender,Female,Oppose EU Integration,Neutral,No Scandal,Conservative Party,No Scandal,Liberal Democrats,Male
205,86.167.232.130,100,100,TRUE,2018/6/19 04:06,R_e9Ecx8iew0hvkNr,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,12.097,32.918,34.577,10,3.498,24.201,31.564,5,Minister 2,1.922,31.215,32.356,7,Minister 2,Gender,Male,EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Sexual Harassment,Male,Oppose EU Integration,Having an Extramarital Affair,Labour Party,Labour Party,Support EU Integration,Having an Extramarital Affair,Gender,Female,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Plagiarism,Female,Support EU Integration,No Scandal,Conservative Party,Conservative Party,Oppose EU Integration,Misreporting Funds
207,86.30.98.84,100,56,TRUE,2018/6/19 04:10,R_1dzE9KCHzSXsGuf,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,9.549,12.905,13.944,5,1.909,20.24,21.439,5,Minister 1,6.101,9.912,10.482,5,Minister 1,Gender,Female,EU Integration,Neutral,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,Male,Support EU Integration,Plagiarism,Oppose EU Integration,Labour Party,No Scandal,Labour Party,Gender,Female,EU Integration,Support EU Integration,Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Female,Neutral,Having an Extramarital Affair,Oppose EU Integration,Labour Party,No Scandal,Labour Party
