,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First.Click,Q1_Last.Click,Q1_Page.Submit,Q1_Click.Count,Q2,Q3_First.Click,Q3_Last.Click,Q3_Page.Submit,Q3_Click.Count,Q4,F.1.1,F.1.1.1,F.1.2,F.1.1.2,F.1.3,F.1.1.3,F.1.4,F.1.1.4,F.1.5,F.1.1.5,F.1.6,F.1.1.6,F.1.7,F.1.1.7,F.1.2.1,F.1.2.2,F.1.2.3,F.1.2.4,F.1.2.5,F.1.2.6,F.1.2.7,F.2.1,F.2.1.1,F.2.2,F.2.1.2,F.2.3,F.2.1.3,F.2.4,F.2.1.4,F.2.5,F.2.1.5,F.2.6,F.2.1.6,F.2.7,F.2.1.7,F.2.2.1,F.2.2.2,F.2.2.3,F.2.2.4,F.2.2.5,F.2.2.6,F.2.2.7
197,155.245.29.130,100,23,TRUE,2018/6/19 03:22,R_2VL0hirXvmCdkPh,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,9.085,9.085,10.267,1,Minister 1,7.603,7.603,8.626,1,Minister 1,Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Gender,Male,PM's Scandal,No Scandal,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Plagiarism,Conservative Party,Neutral,Male,Sexual Harassment,Conservative Party,Neutral,Scandal,Plagiarism,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Male,PM's Scandal,No Scandal,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Misreporting Funds,Liberal Democrats,Support EU Integration,Female,No Scandal,Conservative Party,Support EU Integration
198,217.68.254.137,100,22,TRUE,2018/6/19 03:35,R_DdfOfSYc97QDcnT,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,8.311,8.311,9.429,1,Minister 1,4.503,4.503,11.201,1,Minister 1,Party Affiliation,Conservative Party,PM's Position in EU Integration,Support EU Integration,Gender,Male,PM's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Scandal,No Scandal,Liberal Democrats,Oppose EU Integration,Male,Conservative Party,Oppose EU Integration,Misreporting Funds,Plagiarism,Party Affiliation,Conservative Party,PM's Position in EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,PM's Scandal,Sexual Harassment,Labour Party,Neutral,Male,Labour Party,Neutral,Sexual Harassment,Sexual Harassment
199,82.27.112.61,100,6,TRUE,2018/6/19 03:47,R_1jPnnkahX9DBlwG,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,0.522,2.313,2.363,5,Minister 1,0.419,1.21,1.974,3,Minister 2,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,PM's Scandal,Misreporting Funds,PM's Partisanship,Labour Party,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Conservative Party,Oppose EU Integration,Plagiarism,Conservative Party,Female,No Scandal,Support EU Integration,Party Affiliation,Conservative Party,EU Integration,Neutral,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,Gender,Male,Scandal,Plagiarism,PM's Position in EU Integration,Neutral,Labour Party,Oppose EU Integration,Misreporting Funds,Labour Party,Female,Misreporting Funds,Oppose EU Integration
200,155.245.58.127,100,28,TRUE,2018/6/19 03:53,R_2xRZ5KynsW4vFom,NA,NA,NA,NA,51.88279724,1.004592896,anonymous,EN,13.933,13.933,15.425,1,Minister 2,11.314,11.314,12.311,1,Minister 1,Scandal,Sexual Harassment,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Plagiarism,Male,Conservative Party,Plagiarism,Support EU Integration,Liberal Democrats,Support EU Integration,Scandal,Sexual Harassment,Gender,Male,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,PM's Position in EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,EU Integration,Neutral,Plagiarism,Male,Labour Party,Misreporting Funds,Oppose EU Integration,Labour Party,Support EU Integration
201,82.132.227.74,100,40,TRUE,2018/6/19 03:57,R_3L533lpVgVX6QNN,NA,NA,NA,NA,51.6000061,-0.066696167,anonymous,EN,1.818,10.361,12.113,4,Minister 2,12.189,23.984,24.866,6,Minister 1,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,PM's Scandal,No Scandal,Oppose EU Integration,Conservative Party,Male,No Scandal,Conservative Party,Support EU Integration,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,No Scandal,Oppose EU Integration,Liberal Democrats,Male,Having an Extramarital Affair,Conservative Party,Support EU Integration,Misreporting Funds
202,86.147.203.180,100,43,TRUE,2018/6/19 03:58,R_2zGTDyrTxW2XYGB,NA,NA,NA,NA,51.88330078,0.566696167,anonymous,EN,6.454,9.583,10.526,5,Minister 2,9.855,31.165,31.762,8,Minister 2,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Support EU Integration,Scandal,Misreporting Funds,Gender,Female,Conservative Party,Conservative Party,Sexual Harassment,Neutral,Neutral,Misreporting Funds,Male,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Position in EU Integration,Support EU Integration,Scandal,Having an Extramarital Affair,Gender,Female,Conservative Party,Conservative Party,Having an Extramarital Affair,Support EU Integration,Oppose EU Integration,Having an Extramarital Affair,Male
203,77.111.247.72,100,27,TRUE,2018/6/19 04:01,R_3HLDJxHFRHCHAXq,NA,NA,NA,NA,47,8,anonymous,EN,13.105,13.105,14.32,1,Minister 2,9.545,9.545,10.364,1,Minister 2,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Oppose EU Integration,Labour Party,Support EU Integration,Plagiarism,Male,Labour Party,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,PM's Position in EU Integration,Oppose EU Integration,PM's Scandal,Having an Extramarital Affair,Gender,Female,PM's Partisanship,Labour Party,Scandal,Having an Extramarital Affair,Support EU Integration,Labour Party,Support EU Integration,Having an Extramarital Affair,Female,Labour Party,Misreporting Funds
204,86.132.231.179,100,199,TRUE,2018/6/19 04:03,R_2QFgy6lNBFIlvom,NA,NA,NA,NA,50.8500061,0.566696167,anonymous,EN,190.702,201.802,203.588,3,Minister 2,2.515,6.164,7.914,4,Minister 2,Gender,Female,EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Male,Neutral,Labour Party,Misreporting Funds,Plagiarism,Neutral,Labour Party,Gender,Female,EU Integration,Neutral,PM's Partisanship,Conservative Party,PM's Scandal,Sexual Harassment,Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Support EU Integration,Conservative Party,Having an Extramarital Affair,Plagiarism,Oppose EU Integration,Liberal Democrats
205,86.167.232.130,100,51,TRUE,2018/6/19 04:07,R_11Z7S1MV73Vu6qd,NA,NA,NA,NA,51.88330078,0.899993896,anonymous,EN,2.258,24.078,24.739,8,Minister 1,2.01,24.016,24.734,6,Minister 1,PM's Scandal,Plagiarism,EU Integration,Neutral,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,Scandal,No Scandal,Gender,Male,PM's Position in EU Integration,Neutral,Plagiarism,Oppose EU Integration,Conservative Party,Conservative Party,Misreporting Funds,Female,Oppose EU Integration,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,Scandal,Having an Extramarital Affair,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,Oppose EU Integration,Conservative Party,Liberal Democrats,Having an Extramarital Affair,Female,Oppose EU Integration
206,86.30.98.84,100,39,TRUE,2018/6/19 04:11,R_1jT8VQPALcqY6G7,NA,NA,NA,NA,51.90859985,0.920898438,anonymous,EN,4.26,13.956,14.554,5,Minister 2,5.156,16.176,16.772,6,Minister 1,Party Affiliation,Liberal Democrats,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,Scandal,No Scandal,Gender,Male,EU Integration,Neutral,Liberal Democrats,Misreporting Funds,Support EU Integration,Conservative Party,No Scandal,Female,Neutral,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Liberal Democrats,No Scandal,Oppose EU Integration,Conservative Party,Plagiarism,Male,Neutral
