StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 3





  Which of these candidates do you prefer?
 




    
      
        
            
            Candidate 1
            Candidate 2
        
      
      
        
            [Field-F-1-1]
            [Field-F-1-1-1]
            [Field-F-1-2-1]
        
        
            [Field-F-1-2]
            [Field-F-1-1-2]
            [Field-F-1-2-2]
        
        
            [Field-F-1-3]
            [Field-F-1-1-3]
            [Field-F-1-2-3]
        
        
            [Field-F-1-4]
            [Field-F-1-1-4]
            [Field-F-1-2-4]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 4





  Which of these candidates do you prefer?
 




    
      
        
            
            Candidate 1
            Candidate 2
        
      
      
        
            [Field-F-2-1]
            [Field-F-2-1-1]
            [Field-F-2-2-1]
        
        
            [Field-F-2-2]
            [Field-F-2-1-2]
            [Field-F-2-2-2]
        
        
            [Field-F-2-3]
            [Field-F-2-1-3]
            [Field-F-2-2-3]
        
        
            [Field-F-2-4]
            [Field-F-2-1-4]
            [Field-F-2-2-4]",F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-4""}","{""ImportId"":""F-1-1-4""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-2-4""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-4""}","{""ImportId"":""F-2-1-4""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-2-4""}","{""ImportId"":""F-3-1""}","{""ImportId"":""F-3-1-1""}","{""ImportId"":""F-3-2""}","{""ImportId"":""F-3-1-2""}","{""ImportId"":""F-3-3""}","{""ImportId"":""F-3-1-3""}","{""ImportId"":""F-3-4""}","{""ImportId"":""F-3-1-4""}","{""ImportId"":""F-3-2-1""}","{""ImportId"":""F-3-2-2""}","{""ImportId"":""F-3-2-3""}","{""ImportId"":""F-3-2-4""}","{""ImportId"":""F-4-1""}","{""ImportId"":""F-4-1-1""}","{""ImportId"":""F-4-2""}","{""ImportId"":""F-4-1-2""}","{""ImportId"":""F-4-3""}","{""ImportId"":""F-4-1-3""}","{""ImportId"":""F-4-4""}","{""ImportId"":""F-4-1-4""}","{""ImportId"":""F-4-2-1""}","{""ImportId"":""F-4-2-2""}","{""ImportId"":""F-4-2-3""}","{""ImportId"":""F-4-2-4""}","{""ImportId"":""F-5-1""}","{""ImportId"":""F-5-1-1""}","{""ImportId"":""F-5-2""}","{""ImportId"":""F-5-1-2""}","{""ImportId"":""F-5-3""}","{""ImportId"":""F-5-1-3""}","{""ImportId"":""F-5-4""}","{""ImportId"":""F-5-1-4""}","{""ImportId"":""F-5-2-1""}","{""ImportId"":""F-5-2-2""}","{""ImportId"":""F-5-2-3""}","{""ImportId"":""F-5-2-4""}"
2018/4/24 03:01,2018/4/24 03:01,IP Address,155.245.28.4,100,27,TRUE,2018/4/24 03:01,R_2axh3psLeUTvi5A,,,,,51.90859985,0.920898438,anonymous,EN,10.944,11.784,12.09,2,Candidate 1,13.238,13.238,15.757,1,Candidate 2,EU Integration,Neutral,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Gender,Female,Neutral,No Scandal,Conservative Party,Male,EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Male,Support EU Integration,No Scandal,Conservative Party,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:01,2018/4/24 03:02,IP Address,155.245.28.2,100,33,TRUE,2018/4/24 03:02,R_1l9yofpOtmzADXM,,,,,51.90859985,0.920898438,anonymous,EN,15.54,15.54,17.903,1,Candidate 1,15.509,16.451,16.852,2,Candidate 1,Scandal,Plagiarism,Gender,Female,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Sexual Harassment,Male,Oppose EU Integration,Labour Party,Scandal,Having an Extramarital Affair,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Misreporting Funds,Male,Support EU Integration,Labour Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:02,2018/4/24 03:02,IP Address,155.245.28.10,100,20,TRUE,2018/4/24 03:02,R_6ru6tCv17PFn6LL,,,,,51.90859985,0.920898438,anonymous,EN,9.045,9.045,10.343,1,Candidate 1,4.077,4.077,9.504,1,Candidate 1,Party Affiliation,Labour Party,EU Integration,Support EU Integration,Gender,Male,Scandal,Sexual Harassment,Conservative Party,Oppose EU Integration,Male,Sexual Harassment,Party Affiliation,Labour Party,EU Integration,Neutral,Gender,Male,Scandal,Having an Extramarital Affair,Labour Party,Neutral,Female,Sexual Harassment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:07,2018/4/24 03:07,IP Address,155.245.28.8,100,35,TRUE,2018/4/24 03:07,R_VJ9g8r0hhctWwvv,,,,,51.90859985,0.920898438,anonymous,EN,8.376,8.376,9.725,1,Candidate 2,0.433,25.253,26.064,2,Candidate 2,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Gender,Female,EU Integration,Oppose EU Integration,Conservative Party,Having an Extramarital Affair,Male,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Gender,Female,EU Integration,Oppose EU Integration,Labour Party,Sexual Harassment,Female,Oppose EU Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:30,2018/4/24 03:30,IP Address,155.245.28.4,100,35,TRUE,2018/4/24 03:30,R_3L4Ry7DyVooZNCg,,,,,51.90859985,0.920898438,anonymous,EN,9.284,11.078,14.127,2,Candidate 1,21.196,21.196,22.363,1,Candidate 2,Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Plagiarism,Oppose EU Integration,Liberal Democrats,Female,Scandal,Plagiarism,EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,Gender,Female,Having an Extramarital Affair,Oppose EU Integration,Liberal Democrats,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:31,2018/4/24 03:31,IP Address,155.245.28.2,100,19,TRUE,2018/4/24 03:31,R_ewDQzdmcyRX9FPr,,,,,51.90859985,0.920898438,anonymous,EN,6.587,6.587,9.071,1,Candidate 2,8.085,9.157,9.627,2,Candidate 2,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,Plagiarism,Neutral,Conservative Party,Female,No Scandal,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Gender,Male,Scandal,No Scandal,Oppose EU Integration,Labour Party,Female,No Scandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:32,2018/4/24 03:32,IP Address,155.245.28.10,100,24,TRUE,2018/4/24 03:32,R_YWxExySch6XzOiB,,,,,51.90859985,0.920898438,anonymous,EN,10.538,10.538,12.044,1,Candidate 2,9.38,9.38,11.751,1,Candidate 2,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Female,Support EU Integration,Liberal Democrats,Misreporting Funds,Gender,Female,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Having an Extramarital Affair,Male,Support EU Integration,Liberal Democrats,No Scandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018/4/24 03:31,2018/4/24 03:32,IP Address,155.245.28.9,100,75,TRUE,2018/4/24 03:32,R_3Nzg1sRv0RGpj0e,,,,,51.90859985,0.920898438,anonymous,EN,27.357,27.357,28.458,1,Candidate 2,49.347,49.347,50.416,1,Candidate 2,Gender,Female,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Scandal,No Scandal,Female,Oppose EU Integration,Labour Party,Sexual Harassment,Gender,Female,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Scandal,Plagiarism,Female,Support EU Integration,Liberal Democrats,Plagiarism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
