StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 9





  Which of these Prime Ministers do you prefer?
 




    
      
        
            
            Prime Minister 1
            Prime Minister 2
        
      
      
        
            [Field-F-1-1]
            [Field-F-1-1-1]
            [Field-F-1-2-1]
        
        
            [Field-F-1-2]
            [Field-F-1-1-2]
            [Field-F-1-2-2]
        
        
            [Field-F-1-3]
            [Field-F-1-1-3]
            [Field-F-1-2-3]
        
        
            [Field-F-1-4]
            [Field-F-1-1-4]
            [Field-F-1-2-4]
        
        
            [Field-F-1-5]
            [Field-F-1-1-5]
            [Field-F-1-2-5]
        
        
            [Field-F-1-6]
            [Field-F-1-1-6]
            [Field-F-1-2-6]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 10





  Which of these Prime Ministers do you prefer?
 




    
      
        
            
            Prime Minister 1
            Prime Minister 2
        
      
      
        
            [Field-F-2-1]
            [Field-F-2-1-1]
            [Field-F-2-2-1]
        
        
            [Field-F-2-2]
            [Field-F-2-1-2]
            [Field-F-2-2-2]
        
        
            [Field-F-2-3]
            [Field-F-2-1-3]
            [Field-F-2-2-3]
        
        
            [Field-F-2-4]
            [Field-F-2-1-4]
            [Field-F-2-2-4]
        
        
            [Field-F-2-5]
            [Field-F-2-1-5]
            [Field-F-2-2-5]
        
        
            [Field-F-2-6]
            [Field-F-2-1-6]
            [Field-F-2-2-6]",F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-4""}","{""ImportId"":""F-1-1-4""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-2-4""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-4""}","{""ImportId"":""F-2-1-4""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-2-4""}","{""ImportId"":""F-3-1""}","{""ImportId"":""F-3-1-1""}","{""ImportId"":""F-3-2""}","{""ImportId"":""F-3-1-2""}","{""ImportId"":""F-3-3""}","{""ImportId"":""F-3-1-3""}","{""ImportId"":""F-3-4""}","{""ImportId"":""F-3-1-4""}","{""ImportId"":""F-3-2-1""}","{""ImportId"":""F-3-2-2""}","{""ImportId"":""F-3-2-3""}","{""ImportId"":""F-3-2-4""}","{""ImportId"":""F-4-1""}","{""ImportId"":""F-4-1-1""}","{""ImportId"":""F-4-2""}","{""ImportId"":""F-4-1-2""}","{""ImportId"":""F-4-3""}","{""ImportId"":""F-4-1-3""}","{""ImportId"":""F-4-4""}","{""ImportId"":""F-4-1-4""}","{""ImportId"":""F-4-2-1""}","{""ImportId"":""F-4-2-2""}","{""ImportId"":""F-4-2-3""}","{""ImportId"":""F-4-2-4""}","{""ImportId"":""F-5-1""}","{""ImportId"":""F-5-1-1""}","{""ImportId"":""F-5-2""}","{""ImportId"":""F-5-1-2""}","{""ImportId"":""F-5-3""}","{""ImportId"":""F-5-1-3""}","{""ImportId"":""F-5-4""}","{""ImportId"":""F-5-1-4""}","{""ImportId"":""F-5-2-1""}","{""ImportId"":""F-5-2-2""}","{""ImportId"":""F-5-2-3""}","{""ImportId"":""F-5-2-4""}","{""ImportId"":""F-1-5""}","{""ImportId"":""F-1-1-5""}","{""ImportId"":""F-1-6""}","{""ImportId"":""F-1-1-6""}","{""ImportId"":""F-1-2-5""}","{""ImportId"":""F-1-2-6""}","{""ImportId"":""F-2-5""}","{""ImportId"":""F-2-1-5""}","{""ImportId"":""F-2-6""}","{""ImportId"":""F-2-1-6""}","{""ImportId"":""F-2-2-5""}","{""ImportId"":""F-2-2-6""}"
2018-04-24 03:03:09,2018-04-24 03:03:51,IP Address,155.245.28.4,100,41,True,2018-04-24 03:03:51,R_2XhXGsm5H8tTR2n,,,,,51.908599853516,0.9208984375,anonymous,EN,15.362,15.362,16.104,1,Prime Minister 2,21.527,21.527,26.845,1,Prime Minister 1,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Oppose EU Integration,Plagiarism,No Scandal,Labour Party,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Neutral,Misreporting Funds,Sexual Harassment,Conservative Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender,Female,Party Affiliation,Conservative Party,Male,Labour Party,Gender,Female,Party Affiliation,Labour Party,Female,Conservative Party
2018-04-24 03:04:01,2018-04-24 03:04:26,IP Address,155.245.28.2,100,24,True,2018-04-24 03:04:26,R_2V4JdXvl8nV8gci,,,,,51.908599853516,0.9208984375,anonymous,EN,11.252,11.252,13.379,1,Prime Minister 1,9.832,9.832,11.469,1,Prime Minister 2,Scandal,Having an Extranarital Affair,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Neutral,Having an Extranarital Affair,Male,Conservative Party,Support EU Integration,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Plagiarism,Male,Labour Party,Support EU Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minister's Partisanship,Conservative Party,Minister's Scandal,No Scandal,Conservative Party,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Minister's Scandal,Plagiarism,Labour Party,No Scandal
2018-04-24 03:06:02,2018-04-24 03:06:40,IP Address,155.245.28.10,100,37,True,2018-04-24 03:06:40,R_bBm6aHj5cIVG2NX,,,,,51.908599853516,0.9208984375,anonymous,EN,7.637,7.637,8.483,1,Prime Minister 2,6.795,6.795,7.734,1,Prime Minister 2,Minister's Scandal,Sexual Harassment,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Plagiarism,Neutral,Having an Extranarital Affair,Male,Minister's Scandal,Having an Extramarital Affair,EU Integration,Neutral,Scandal,Sexual Harassment,Gender,Male,Having an Extramarital Affair,Support EU Integration,Misreporting Funds,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Conservative Party,Liberal Democrats,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Conservative Party,Liberal Democrats
2018-04-24 03:10:30,2018-04-24 03:10:59,IP Address,155.245.28.8,100,29,True,2018-04-24 03:11:00,R_2Eo3G6aJOFzR89X,,,,,51.908599853516,0.9208984375,anonymous,EN,8.329,8.329,9.098,1,Prime Minister 1,18.635,18.635,19.919,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,EU Integration,Support EU Integration,Minister's Scandal,Sexual Harassment,Labour Party,No Scandal,Oppose EU Integration,No Scandal,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Minister's Scandal,No Scandal,Labour Party,Having an Extranarital Affair,Support EU Integration,No Scandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minister's Partisanship,Conservative Party,Gender,Female,Labour Party,Female,Minister's Partisanship,Conservative Party,Gender,Female,Labour Party,Male
2018-04-24 03:31:47,2018-04-24 03:32:50,IP Address,155.245.28.4,100,62,True,2018-04-24 03:32:50,R_Ox8jb8OvOl3Omt3,,,,,51.908599853516,0.9208984375,anonymous,EN,15.099,15.099,16.582,1,Prime Minister 2,46.892,46.892,48.304,1,Prime Minister 2,EU Integration,Support EU Integration,Gender,Female,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Neutral,Male,No Scandal,Conservative Party,EU Integration,Oppose EU Integration,Gender,Male,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,Neutral,Female,Having an Extramarital Affair,Conservative Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scandal,Plagiarism,Party Affiliation,Conservative Party,No Scandal,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,Having an Extranarital Affair,Conservative Party
2018-04-24 03:32:53,2018-04-24 03:33:24,IP Address,155.245.28.2,100,31,True,2018-04-24 03:33:25,R_30vFQcawSaOVvJ7,,,,,51.908599853516,0.9208984375,anonymous,EN,11.85,11.85,12.85,1,Prime Minister 1,15.137,15.765,19.292,2,Prime Minister 2,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Having an Extramarital Affair,Conservative Party,Conservative Party,No Scandal,Minister's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Scandal,Sexual Harassment,No Scandal,Labour Party,Labour Party,Plagiarism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EU Integration,Support EU Integration,Gender,Female,Oppose EU Integration,Female,EU Integration,Neutral,Gender,Female,Neutral,Female
2018-04-24 03:33:56,2018-04-24 03:34:25,IP Address,155.245.28.9,100,28,True,2018-04-24 03:34:25,R_2uU3bRSDZHakLfG,,,,,51.908599853516,0.9208984375,anonymous,EN,12.484,12.484,14.738,1,Prime Minister 1,13.186,13.186,14.432,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Gender,Male,EU Integration,Support EU Integration,Liberal Democrats,Plagiarism,Male,Oppose EU Integration,Minister's Partisanship,Conservative Party,Minister's Scandal,Sexual Harassment,Gender,Male,EU Integration,Support EU Integration,Labour Party,Plagiarism,Female,Oppose EU Integration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scandal,No Scandal,Party Affiliation,Conservative Party,Plagiarism,Conservative Party,Scandal,No Scandal,Party Affiliation,Conservative Party,Misreporting Funds,Labour Party
