StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 15





  Which of these ministers do you prefer?
 




    
      
        
            
            Minister 1
            Minister 2
        
      
      
        
            [Field-F-1-1]
            [Field-F-1-1-1]
            [Field-F-1-2-1]
        
        
            [Field-F-1-2]
            [Field-F-1-1-2]
            [Field-F-1-2-2]
        
        
            [Field-F-1-3]
            [Field-F-1-1-3]
            [Field-F-1-2-3]
        
        
            [Field-F-1-4]
            [Field-F-1-1-4]
            [Field-F-1-2-4]
        
        
            [Field-F-1-5]
            [Field-F-1-1-5]
            [Field-F-1-2-5]
        
        
            [Field-F-1-6]
            [Field-F-1-1-6]
            [Field-F-1-2-6]
        
        
            [Field-F-1-7]
            [Field-F-1-1-7]
            [Field-F-1-2-7]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 16





  Which of these ministers do you prefer?
 




    
      
        
            
            Minister 1
            Minister 2
        
      
      
        
            [Field-F-2-1]
            [Field-F-2-1-1]
            [Field-F-2-2-1]
        
        
            [Field-F-2-2]
            [Field-F-2-1-2]
            [Field-F-2-2-2]
        
        
            [Field-F-2-3]
            [Field-F-2-1-3]
            [Field-F-2-2-3]
        
        
            [Field-F-2-4]
            [Field-F-2-1-4]
            [Field-F-2-2-4]
        
        
            [Field-F-2-5]
            [Field-F-2-1-5]
            [Field-F-2-2-5]
        
        
            [Field-F-2-6]
            [Field-F-2-1-6]
            [Field-F-2-2-6]
        
        
            [Field-F-2-7]
            [Field-F-2-1-7]
            [Field-F-2-2-7]",F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-4""}","{""ImportId"":""F-1-1-4""}","{""ImportId"":""F-1-5""}","{""ImportId"":""F-1-1-5""}","{""ImportId"":""F-1-6""}","{""ImportId"":""F-1-1-6""}","{""ImportId"":""F-1-7""}","{""ImportId"":""F-1-1-7""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-2-4""}","{""ImportId"":""F-1-2-5""}","{""ImportId"":""F-1-2-6""}","{""ImportId"":""F-1-2-7""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-4""}","{""ImportId"":""F-2-1-4""}","{""ImportId"":""F-2-5""}","{""ImportId"":""F-2-1-5""}","{""ImportId"":""F-2-6""}","{""ImportId"":""F-2-1-6""}","{""ImportId"":""F-2-7""}","{""ImportId"":""F-2-1-7""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-2-4""}","{""ImportId"":""F-2-2-5""}","{""ImportId"":""F-2-2-6""}","{""ImportId"":""F-2-2-7""}"
2018-04-24 03:05:35,2018-04-24 03:06:02,IP Address,155.245.28.2,100,26,True,2018-04-24 03:06:03,R_eyumlO03SSpSHn3,,,,,51.908599853516,0.9208984375,anonymous,EN,10.528,10.528,11.698,1,Minister 2,14.409,14.409,15.191,1,Minister 1,Scandal,Misreporting Funds,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,PM's Position in EU Integration,Neutral,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Female,Having an Extramarital Affair,Plagiarism,Support EU Integration,Support EU Integration,Liberal Democrats,Conservative Party,Male,Scandal,Plagiarism,PM's Scandal,Having an Extramarital Affair,EU Integration,Neutral,PM's Position in EU Integration,Oppose EU Integration,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Female,Having an Extramarital Affair,Misreporting Funds,Neutral,Oppose EU Integration,Liberal Democrats,Conservative Party,Female
2018-04-24 03:05:36,2018-04-24 03:06:12,IP Address,155.245.28.4,100,35,True,2018-04-24 03:06:12,R_3qkcrOWKAsJyalE,,,,,51.908599853516,0.9208984375,anonymous,EN,15.2,15.2,16.102,1,Minister 2,19.025,19.873,20.21,2,Minister 2,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Gender,Female,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Scandal,Plagiarism,Labour Party,Support EU Integration,Female,Labour Party,Support EU Integration,No Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Sexual Harassment,PM's Scandal,Sexual Harassment,Conservative Party,Neutral,Female,Conservative Party,Support EU Integration,No Scandal,Sexual Harassment
2018-04-24 03:07:41,2018-04-24 03:08:13,IP Address,155.245.28.10,100,31,True,2018-04-24 03:08:13,R_3hyzCgfX38naB8l,,,,,51.908599853516,0.9208984375,anonymous,EN,7.725,7.725,8.854,1,Minister 1,14.906,22.275,23.093,2,Minister 2,PM's Position in EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,EU Integration,Neutral,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Oppose EU Integration,Sexual Harassment,Conservative Party,Oppose EU Integration,Female,Conservative Party,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Gender,Female,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Neutral,No Scandal,Liberal Democrats,Oppose EU Integration,Female,Conservative Party,Misreporting Funds
2018-04-24 03:12:26,2018-04-24 03:12:47,IP Address,155.245.28.8,100,21,True,2018-04-24 03:12:48,R_3lRNGxwT1wRiYno,,,,,51.908599853516,0.9208984375,anonymous,EN,13.841,13.841,14.642,1,Minister 2,4.968,4.968,6.122,1,Minister 2,Scandal,Plagiarism,EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Having an Extramarital Affair,Support EU Integration,Sexual Harassment,Labour Party,Labour Party,Male,Neutral,Scandal,No Scandal,EU Integration,Neutral,PM's Scandal,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Partisanship,Conservative Party,Gender,Male,PM's Position in EU Integration,Oppose EU Integration,Misreporting Funds,Support EU Integration,No Scandal,Conservative Party,Conservative Party,Female,Neutral
2018-04-24 03:34:24,2018-04-24 03:35:09,IP Address,155.245.28.4,100,45,True,2018-04-24 03:35:10,R_24LYX1nIh06f3UZ,,,,,51.908599853516,0.9208984375,anonymous,EN,24.9,24.9,26.183,1,Minister 2,18.613,18.613,19.708,1,Minister 1,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,Party Affiliation,Labour Party,PM's Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Gender,Male,Plagiarism,Labour Party,Labour Party,No Scandal,Support EU Integration,Neutral,Female,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,Party Affiliation,Liberal Democrats,PM's Scandal,Plagiarism,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Neutral,Gender,Male,Sexual Harassment,Conservative Party,Liberal Democrats,Plagiarism,Neutral,Oppose EU Integration,Male
2018-04-24 03:36:05,2018-04-24 03:36:43,IP Address,155.245.28.9,100,37,True,2018-04-24 03:36:43,R_3qUN7dWGADpbGWL,,,,,51.908599853516,0.9208984375,anonymous,EN,21.945,21.945,22.884,1,Minister 2,14.452,14.452,15.428,1,Minister 1,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Labour Party,Scandal,Plagiarism,Gender,Male,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,EU Integration,Oppose EU Integration,Neutral,Conservative Party,Misreporting Funds,Male,Plagiarism,Conservative Party,Oppose EU Integration,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Gender,Female,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,EU Integration,Oppose EU Integration,Support EU Integration,Labour Party,Sexual Harassment,Female,Plagiarism,Labour Party,Neutral
2018-04-24 03:36:17,2018-04-24 03:36:44,IP Address,155.245.28.2,100,26,True,2018-04-24 03:36:44,R_1o11cE13mkkfIqw,,,,,51.908599853516,0.9208984375,anonymous,EN,6.873,6.873,8.393,1,Minister 2,11.004,14.814,18.397,5,Minister 1,Party Affiliation,Labour Party,PM's Position in EU Integration,Neutral,PM's Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Female,PM's Partisanship,Labour Party,Scandal,No Scandal,Conservative Party,Support EU Integration,Having an Extramarital Affair,Support EU Integration,Male,Conservative Party,Misreporting Funds,Party Affiliation,Liberal Democrats,PM's Position in EU Integration,Support EU Integration,PM's Scandal,Misreporting Funds,EU Integration,Neutral,Gender,Male,PM's Partisanship,Conservative Party,Scandal,Sexual Harassment,Liberal Democrats,Support EU Integration,Sexual Harassment,Support EU Integration,Male,Conservative Party,No Scandal
2018-04-24 03:37:35,2018-04-24 03:38:01,IP Address,155.245.28.10,100,25,True,2018-04-24 03:38:02,R_1MQgG856AwQeReq,,,,,51.908599853516,0.9208984375,anonymous,EN,10.274,10.274,12.057,1,Minister 2,12.138,12.138,13.271,1,Minister 1,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,EU Integration,Support EU Integration,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Plagiarism,Male,Labour Party,Labour Party,Support EU Integration,Plagiarism,Support EU Integration,Scandal,Sexual Harassment,Gender,Male,Party Affiliation,Labour Party,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,PM's Scandal,Plagiarism,PM's Position in EU Integration,Support EU Integration,Sexual Harassment,Female,Conservative Party,Conservative Party,Support EU Integration,Plagiarism,Support EU Integration
