StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q2,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q7,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q15,Q16_First Click,Q16_Last Click,Q16_Page Submit,Q16_Click Count,Q17,Q18_First Click,Q18_Last Click,Q18_Page Submit,Q18_Click Count,Q19,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q21,Q22_First Click,Q22_Last Click,Q22_Page Submit,Q22_Click Count,Q23,Q24_First Click,Q24_Last Click,Q24_Page Submit,Q24_Click Count,Q25,Q26_First Click,Q26_Last Click,Q26_Page Submit,Q26_Click Count,Q27,Q28_First Click,Q28_Last Click,Q28_Page Submit,Q28_Click Count,Q29,Q30_First Click,Q30_Last Click,Q30_Page Submit,Q30_Click Count,Q31,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q33,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 17





  Which of these ministers do you prefer?
 




    
      
        
            
            Minister 1
            Minister 2
        
      
      
        
            [Field-F-1-1]
            [Field-F-1-1-1]
            [Field-F-1-2-1]
        
        
            [Field-F-1-2]
            [Field-F-1-1-2]
            [Field-F-1-2-2]
        
        
            [Field-F-1-3]
            [Field-F-1-1-3]
            [Field-F-1-2-3]
        
        
            [Field-F-1-4]
            [Field-F-1-1-4]
            [Field-F-1-2-4]
        
        
            [Field-F-1-5]
            [Field-F-1-1-5]
            [Field-F-1-2-5]
        
        
            [Field-F-1-6]
            [Field-F-1-1-6]
            [Field-F-1-2-6]
        
        
            [Field-F-1-7]
            [Field-F-1-1-7]
            [Field-F-1-2-7]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Question 18





  Which of these ministers do you prefer?
 




    
      
        
            
            Minister 1
            Minister 2
        
      
      
        
            [Field-F-2-1]
            [Field-F-2-1-1]
            [Field-F-2-2-1]
        
        
            [Field-F-2-2]
            [Field-F-2-1-2]
            [Field-F-2-2-2]
        
        
            [Field-F-2-3]
            [Field-F-2-1-3]
            [Field-F-2-2-3]
        
        
            [Field-F-2-4]
            [Field-F-2-1-4]
            [Field-F-2-2-4]
        
        
            [Field-F-2-5]
            [Field-F-2-1-5]
            [Field-F-2-2-5]
        
        
            [Field-F-2-6]
            [Field-F-2-1-6]
            [Field-F-2-2-6]
        
        
            [Field-F-2-7]
            [Field-F-2-1-7]
            [Field-F-2-2-7]",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you a British citizen?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you have either indefinite leave to remain (ILR) or permanent residency (PR) status?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you from Ireland?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you from the Commonwealth Realm?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you from another European Union (EU) country?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"According to your memory, please tell us who the prime minister of the U.K. is.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was David Cameron's last position on Brexit?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How long have you lived in the U.K.?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you vote in the U.K. for the past five years?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which party are you closest to identify with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How strongly do you identify with your party?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your gender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your attitude toward EU integration?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your education level?,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-7,F-1-1-7,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-1-2-5,F-1-2-6,F-1-2-7,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-7,F-2-1-7,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-2-2-5,F-2-2-6,F-2-2-7
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44_FIRST_CLICK""}","{""ImportId"":""QID44_LAST_CLICK""}","{""ImportId"":""QID44_PAGE_SUBMIT""}","{""ImportId"":""QID44_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID45_FIRST_CLICK""}","{""ImportId"":""QID45_LAST_CLICK""}","{""ImportId"":""QID45_PAGE_SUBMIT""}","{""ImportId"":""QID45_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID59_FIRST_CLICK""}","{""ImportId"":""QID59_LAST_CLICK""}","{""ImportId"":""QID59_PAGE_SUBMIT""}","{""ImportId"":""QID59_CLICK_COUNT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_FIRST_CLICK""}","{""ImportId"":""QID72_LAST_CLICK""}","{""ImportId"":""QID72_PAGE_SUBMIT""}","{""ImportId"":""QID72_CLICK_COUNT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID61_FIRST_CLICK""}","{""ImportId"":""QID61_LAST_CLICK""}","{""ImportId"":""QID61_PAGE_SUBMIT""}","{""ImportId"":""QID61_CLICK_COUNT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID67_FIRST_CLICK""}","{""ImportId"":""QID67_LAST_CLICK""}","{""ImportId"":""QID67_PAGE_SUBMIT""}","{""ImportId"":""QID67_CLICK_COUNT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID63_FIRST_CLICK""}","{""ImportId"":""QID63_LAST_CLICK""}","{""ImportId"":""QID63_PAGE_SUBMIT""}","{""ImportId"":""QID63_CLICK_COUNT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID64""}","{""ImportId"":""QID52_FIRST_CLICK""}","{""ImportId"":""QID52_LAST_CLICK""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID52_CLICK_COUNT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID53_FIRST_CLICK""}","{""ImportId"":""QID53_LAST_CLICK""}","{""ImportId"":""QID53_PAGE_SUBMIT""}","{""ImportId"":""QID53_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID54_FIRST_CLICK""}","{""ImportId"":""QID54_LAST_CLICK""}","{""ImportId"":""QID54_PAGE_SUBMIT""}","{""ImportId"":""QID54_CLICK_COUNT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID55_FIRST_CLICK""}","{""ImportId"":""QID55_LAST_CLICK""}","{""ImportId"":""QID55_PAGE_SUBMIT""}","{""ImportId"":""QID55_CLICK_COUNT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID56_FIRST_CLICK""}","{""ImportId"":""QID56_LAST_CLICK""}","{""ImportId"":""QID56_PAGE_SUBMIT""}","{""ImportId"":""QID56_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID57_FIRST_CLICK""}","{""ImportId"":""QID57_LAST_CLICK""}","{""ImportId"":""QID57_PAGE_SUBMIT""}","{""ImportId"":""QID57_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-4""}","{""ImportId"":""F-1-1-4""}","{""ImportId"":""F-1-5""}","{""ImportId"":""F-1-1-5""}","{""ImportId"":""F-1-6""}","{""ImportId"":""F-1-1-6""}","{""ImportId"":""F-1-7""}","{""ImportId"":""F-1-1-7""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-2-4""}","{""ImportId"":""F-1-2-5""}","{""ImportId"":""F-1-2-6""}","{""ImportId"":""F-1-2-7""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-4""}","{""ImportId"":""F-2-1-4""}","{""ImportId"":""F-2-5""}","{""ImportId"":""F-2-1-5""}","{""ImportId"":""F-2-6""}","{""ImportId"":""F-2-1-6""}","{""ImportId"":""F-2-7""}","{""ImportId"":""F-2-1-7""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-2-4""}","{""ImportId"":""F-2-2-5""}","{""ImportId"":""F-2-2-6""}","{""ImportId"":""F-2-2-7""}"
2018/4/24 03:06,2018/4/24 03:07,IP Address,155.245.28.4,100,73,TRUE,2018/4/24 03:07,R_2BfIyuqL55fDgPY,,,,,51.90859985,0.920898438,anonymous,EN,10.471,10.471,11.205,1,Minister 1,13.099,14.405,14.962,3,Minister 1,0.695,0.695,1.628,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,3.369,3.369,4.621,1,Oppose Brexit,,,,,,2.658,2.658,3.399,1,Yes,1.212,1.212,2.059,1,18-29,2.178,2.178,3.578,1,Labour Party,2.631,3.09,4.486,2,Moderately strong,0.695,0.695,1.396,1,Male,5.658,5.658,7.065,1,Support EU Integration,2.047,2.047,3.17,1,Master or Ph.D.,PM's Position in EU Integration,Support EU Integration,Scandal,Plagiarism,PM's Scandal,Misreporting Funds,EU Integration,Neutral,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,Neutral,Plagiarism,Sexual Harassment,Support EU Integration,Conservative Party,Male,Conservative Party,PM's Position in EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Liberal Democrats,Neutral,Sexual Harassment,Sexual Harassment,Neutral,Conservative Party,Male,Liberal Democrats
2018/4/24 03:06,2018/4/24 03:07,IP Address,155.245.28.2,100,90,TRUE,2018/4/24 03:07,R_2CjqtA0XVk7JLs4,,,,,51.90859985,0.920898438,anonymous,EN,15.847,15.847,16.714,1,Minister 1,6.861,6.861,7.914,1,Minister 2,0.831,0.831,1.74,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,6.792,6.792,15.917,1,Oppose Brexit,,,,,,1.248,1.248,2.473,1,Yes,0.828,0.828,1.942,1,18-29,0.988,0.988,2.954,1,Labour Party,4.789,7.583,9.339,4,Moderately strong,0.74,0.74,1.504,1,Female,6.207,7.087,7.515,2,Support EU Integration,1.558,1.558,8.454,1,University graduate or some university,Scandal,Having an Extramarital Affair,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Gender,Male,Party Affiliation,Conservative Party,Plagiarism,Conservative Party,Plagiarism,Neutral,Oppose EU Integration,Female,Conservative Party,Scandal,Sexual Harassment,PM's Partisanship,Labour Party,PM's Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,EU Integration,Oppose EU Integration,Gender,Male,Party Affiliation,Labour Party,Having an Extramarital Affair,Conservative Party,Plagiarism,Neutral,Support EU Integration,Male,Liberal Democrats
2018/4/24 03:08,2018/4/24 03:09,IP Address,155.245.28.10,100,66,TRUE,2018/4/24 03:09,R_DdifJ1AyvhOL6cp,,,,,51.90859985,0.920898438,anonymous,EN,5.309,5.309,7.564,1,Minister 1,6.515,6.515,7.575,1,Minister 2,1.108,1.108,2.032,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,3.504,3.504,4.712,1,Oppose Brexit,,,,,,6.26,6.26,7.808,1,Yes,1.766,1.766,2.972,1,18-29,1.814,1.814,3.08,1,Labour Party,3.14,3.14,4.053,1,Very strong,0.885,0.885,1.708,1,Female,4.035,4.035,5.087,1,Strongly support EU Integration,2.277,2.277,3.356,1,University graduate or some university,PM's Partisanship,Conservative Party,Gender,Male,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,Conservative Party,Male,Conservative Party,Sexual Harassment,Support EU Integration,Plagiarism,Neutral,PM's Partisanship,Conservative Party,Gender,Female,Party Affiliation,Conservative Party,PM's Scandal,No Scandal,EU Integration,Oppose EU Integration,Scandal,Having an Extramarital Affair,PM's Position in EU Integration,Support EU Integration,Labour Party,Female,Labour Party,Misreporting Funds,Neutral,No Scandal,Neutral
2018/4/24 03:12,2018/4/24 03:14,IP Address,155.245.28.8,100,82,TRUE,2018/4/24 03:14,R_2rjQf2w6FC1DG1T,,,,,51.90859985,0.920898438,anonymous,EN,8.679,8.679,9.987,1,Minister 1,7.219,7.219,8.515,1,Minister 2,1.31,1.31,2.052,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,3.73,30.894,31.587,3,Oppose Brexit,,,,,,3.686,3.686,4.323,1,Yes,0.809,0.809,1.578,1,18-29,2.073,2.073,3.344,1,No affiliation,,,,,,,,,,Male,1.912,1.912,4.829,1,Strongly support EU Integration,1.278,1.278,2.136,1,University graduate or some university,EU Integration,Neutral,Scandal,Misreporting Funds,PM's Position in EU Integration,Support EU Integration,PM's Partisanship,Labour Party,PM's Scandal,Sexual Harassment,Party Affiliation,Labour Party,Gender,Female,Oppose EU Integration,Sexual Harassment,Neutral,Conservative Party,Having an Extramarital Affair,Conservative Party,Female,EU Integration,Support EU Integration,Scandal,No Scandal,PM's Position in EU Integration,Oppose EU Integration,PM's Partisanship,Conservative Party,PM's Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Gender,Male,Support EU Integration,Having an Extramarital Affair,Neutral,Labour Party,Misreporting Funds,Labour Party,Female
2018/4/24 03:35,2018/4/24 03:36,IP Address,155.245.28.4,100,68,TRUE,2018/4/24 03:36,R_1QbGAyyPp0bUJK5,,,,,51.90859985,0.920898438,anonymous,EN,8.208,8.208,9.28,1,Minister 2,8.51,8.51,9.486,1,Minister 1,0.522,0.522,1.354,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,2.126,2.126,3.034,1,Support Brexit,,,,,,3.096,3.096,3.962,1,Yes,0.832,1.911,2.694,2,18-29,3.308,4.689,5.055,2,Conservative Party,2.139,3.804,4.202,3,Slightly strong,0.848,0.848,1.717,1,Female,1.377,1.377,2.649,1,Strongly support EU Integration,1.662,9.315,10.083,6,University graduate or some university,Party Affiliation,Labour Party,Gender,Female,PM's Scandal,No Scandal,PM's Position in EU Integration,Neutral,PM's Partisanship,Labour Party,EU Integration,Oppose EU Integration,Scandal,Misreporting Funds,Conservative Party,Male,Having an Extramarital Affair,Support EU Integration,Conservative Party,Support EU Integration,Plagiarism,Party Affiliation,Liberal Democrats,Gender,Female,PM's Scandal,Sexual Harassment,PM's Position in EU Integration,Neutral,PM's Partisanship,Conservative Party,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Liberal Democrats,Female,Having an Extramarital Affair,Support EU Integration,Conservative Party,Oppose EU Integration,Having an Extramarital Affair
2018/4/24 03:36,2018/4/24 03:37,IP Address,155.245.28.2,100,68,TRUE,2018/4/24 03:37,R_3hfnvN7oa52wC4D,,,,,51.90859985,0.920898438,anonymous,EN,11.119,11.119,11.97,1,Minister 2,5.022,5.022,6.623,1,Minister 2,0.906,0.906,2.412,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,1.348,1.348,2.556,1,Oppose Brexit,,,,,,4.156,4.156,5.515,1,No,2.594,2.594,3.482,1,18-29,3.654,3.654,4.44,1,Labour Party,3.242,3.242,4.95,1,Moderately strong,1.011,1.011,2.495,1,Male,2.663,2.663,5.003,1,Support EU Integration,1.547,2.066,2.87,2,Master or Ph.D.,PM's Position in EU Integration,Oppose EU Integration,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,Gender,Male,Scandal,Plagiarism,Oppose EU Integration,Neutral,Labour Party,Labour Party,Plagiarism,Male,Plagiarism,PM's Position in EU Integration,Support EU Integration,EU Integration,Neutral,Party Affiliation,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,No Scandal,Gender,Male,Scandal,Plagiarism,Neutral,Oppose EU Integration,Labour Party,Labour Party,Plagiarism,Female,Having an Extramarital Affair
2018/4/24 03:36,2018/4/24 03:38,IP Address,155.245.28.9,100,100,TRUE,2018/4/24 03:38,R_1lzp5w12LqPQfNp,,,,,51.90859985,0.920898438,anonymous,EN,10.622,10.622,12.07,1,Minister 2,21.151,21.151,22.408,1,Minister 2,1.044,1.044,3.423,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,6.941,6.941,8.275,1,Oppose Brexit,,,,,,4.052,4.052,6.163,1,No,1.205,1.205,2.077,1,18-29,5.136,5.136,6.599,1,Labour Party,4.939,4.939,6.329,1,Slightly strong,0.881,0.881,1.809,1,Female,5.93,5.93,7.587,1,Support EU Integration,4.05,5.281,7.802,2,Master or Ph.D.,Gender,Female,EU Integration,Neutral,Scandal,Plagiarism,Party Affiliation,Conservative Party,PM's Scandal,Misreporting Funds,PM's Partisanship,Conservative Party,PM's Position in EU Integration,Oppose EU Integration,Female,Oppose EU Integration,Sexual Harassment,Liberal Democrats,Sexual Harassment,Conservative Party,Oppose EU Integration,Gender,Male,EU Integration,Neutral,Scandal,Having an Extramarital Affair,Party Affiliation,Labour Party,PM's Scandal,Plagiarism,PM's Partisanship,Labour Party,PM's Position in EU Integration,Neutral,Male,Support EU Integration,Sexual Harassment,Labour Party,Misreporting Funds,Labour Party,Support EU Integration
2018/4/24 03:38,2018/4/24 03:39,IP Address,155.245.28.10,100,93,TRUE,2018/4/24 03:39,R_1EgMWx0FLu4640D,,,,,51.90859985,0.920898438,anonymous,EN,2.342,18.085,19.484,4,Minister 1,3.72,12.399,15.097,2,Minister 1,0.941,0.941,1.984,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Theresa May,3.312,3.312,5.254,1,Oppose Brexit,,,,,,2.714,2.714,3.91,1,Yes,1.005,1.005,2.117,1,18-29,1.508,1.508,3.346,1,Labour Party,6.407,6.961,8.303,2,Moderately strong,1.119,1.119,2.045,1,Male,3.9,3.9,10.591,1,Support EU Integration,2.555,2.555,4.225,1,University graduate or some university,PM's Partisanship,Labour Party,PM's Scandal,Plagiarism,EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Position in EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Labour Party,Conservative Party,Having an Extramarital Affair,Neutral,Having an Extramarital Affair,Neutral,Male,Conservative Party,PM's Partisanship,Conservative Party,PM's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,Misreporting Funds,PM's Position in EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Conservative Party,Plagiarism,Oppose EU Integration,Sexual Harassment,Support EU Integration,Female,Conservative Party
