IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q9,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,Q7_First Click,Q7_Last Click,Q7_Page Submit,Q7_Click Count,Q8,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4
155.245.28.2,100,2271,TRUE,2018/4/24 03:01,R_1dc45cYKnvPGuKg,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,2328.367,0,0,0,28.054,0,27.498,27.498,28.512,1,Candidate 2,13.628,13.628,15.424,1,Candidate 1,Party Affiliation,Labour Party,Gender,Female,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Liberal Democrats,Female,Plagiarism,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Scandal,Misreporting Funds,EU Integration,Support EU Integration,Labour Party,Female,Sexual Harassment,Oppose EU Integration
155.245.28.10,100,2321,TRUE,2018/4/24 03:02,R_2lX3yAAyKzUoZmV,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,2259.06,2349.817,2352.908,4,0,0,38.995,0,43.68,43.68,45.994,1,Candidate 1,9.082,9.082,10.406,1,Candidate 1,Gender,Female,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Conservative Party,Male,Having an Extramarital Affair,Oppose EU Integration,Labour Party,Gender,Female,Scandal,No Scandal,EU Integration,Neutral,Party Affiliation,Liberal Democrats,Female,Having an Extramarital Affair,Support EU Integration,Liberal Democrats
155.245.28.8,100,2609,TRUE,2018/4/24 03:07,R_25T32DKzuebd5xB,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,2546.474,2546.474,2567.751,1,0,0,107.988,0,30.848,30.848,32.206,1,Candidate 1,42.658,42.658,43.822,1,Candidate 1,Scandal,No Scandal,Party Affiliation,Conservative Party,Gender,Female,EU Integration,Support EU Integration,Misreporting Funds,Labour Party,Male,Oppose EU Integration,Scandal,Having an Extramarital Affair,Party Affiliation,Liberal Democrats,Gender,Female,EU Integration,Neutral,Sexual Harassment,Labour Party,Male,Oppose EU Integration
155.245.28.4,100,450,TRUE,2018/4/24 03:30,R_2XnFItHJLKvxzdp,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,417.214,417.214,417.81,1,0,0,29.157,0,21.111,21.111,25.305,1,Candidate 2,6.307,6.307,7.46,1,Candidate 1,EU Integration,Oppose EU Integration,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Support EU Integration,Male,Plagiarism,Liberal Democrats,EU Integration,Neutral,Gender,Female,Scandal,No Scandal,Party Affiliation,Liberal Democrats,Oppose EU Integration,Male,Sexual Harassment,Liberal Democrats
155.245.28.2,100,491,TRUE,2018/4/24 03:31,R_72u16qtXSQ7xRDP,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,419.041,0,0,0,68.725,0,10.602,10.602,22.957,1,Candidate 1,7.279,7.279,9.044,1,Candidate 2,EU Integration,Oppose EU Integration,Party Affiliation,Conservative Party,Scandal,Having an Extramarital Affair,Gender,Male,Oppose EU Integration,Conservative Party,Sexual Harassment,Male,EU Integration,Neutral,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Gender,Male,Support EU Integration,Liberal Democrats,No Scandal,Female
155.245.28.9,100,127,TRUE,2018/4/24 03:31,R_2sbBJrAPMf73MWZ,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,45.407,0,0,0,47.886,0,10.654,20.811,24.198,2,Candidate 2,13.851,13.851,15.992,1,Candidate 1,Scandal,Plagiarism,EU Integration,Neutral,Party Affiliation,Conservative Party,Gender,Male,Plagiarism,Neutral,Labour Party,Female,Scandal,Sexual Harassment,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Gender,Male,Misreporting Funds,Support EU Integration,Liberal Democrats,Female
155.245.28.10,100,552,TRUE,2018/4/24 03:32,R_1H0H6YELHfSK9Ou,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,466.555,0,0,0,73.727,0,14.601,17.066,17.546,2,Candidate 2,6.29,6.29,7.622,1,Candidate 2,Scandal,Misreporting Funds,EU Integration,Oppose EU Integration,Party Affiliation,Labour Party,Gender,Female,Misreporting Funds,Support EU Integration,Labour Party,Female,Scandal,Plagiarism,EU Integration,Support EU Integration,Party Affiliation,Liberal Democrats,Gender,Male,No Scandal,Support EU Integration,Labour Party,Female
155.245.28.2,100,816,TRUE,2018/4/24 04:02,R_w72YkaOrKTgqRtT,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,795.274,0,0,0,25.698,0,13.498,13.498,30.56,1,Candidate 1,8.455,8.455,10.763,1,Candidate 2,Party Affiliation,Labour Party,Scandal,Plagiarism,EU Integration,Support EU Integration,Gender,Female,Liberal Democrats,Sexual Harassment,Oppose EU Integration,Female,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,EU Integration,Neutral,Gender,Female,Labour Party,Sexual Harassment,Neutral,Female
155.245.28.8,100,859,TRUE,2018/4/24 04:02,R_25z2ZMtZIy9kbx2,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,771.867,0,0,0,37.32,0,76.929,76.929,78.257,1,Candidate 2,14.99,14.99,20.593,1,Candidate 2,Gender,Male,Scandal,No Scandal,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Female,No Scandal,Labour Party,Oppose EU Integration,Gender,Female,Scandal,Sexual Harassment,Party Affiliation,Liberal Democrats,EU Integration,Oppose EU Integration,Female,Misreporting Funds,Conservative Party,Support EU Integration
155.245.28.14,100,112,TRUE,2018/4/24 04:03,R_2pK3DdSd8TaMKE2,,,,,51.90859985,0.920898438,anonymous,EN,,,,,,0,0,11.668,0,0,0,66.814,0,23.283,23.283,27.117,1,Candidate 2,8.877,8.877,10.326,1,Candidate 2,EU Integration,Oppose EU Integration,Gender,Female,Party Affiliation,Liberal Democrats,Scandal,Sexual Harassment,Support EU Integration,Female,Liberal Democrats,Having an Extramarital Affair,EU Integration,Neutral,Gender,Male,Party Affiliation,Conservative Party,Scandal,Sexual Harassment,Support EU Integration,Male,Liberal Democrats,Plagiarism
