IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_First Click,Q1_Last Click,Q1_Page Submit,Q1_Click Count,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
155.245.28.4,100,59,TRUE,2018/4/24 03:03,R_2wRnv8BwyaU79Zb,,,,,51.90859985,0.920898438,anonymous,EN,0,0,13.104,0,28.909,28.909,31.415,1,Prime Minister 1,14.265,14.265,16.138,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,EU Integration,Support EU Integration,Scandal,Sexual Harassment,Gender,Female,Having an Extramarital Affair,Neutral,Sexual Harassment,Male,Minister's Scandal,Misreporting Funds,EU Integration,Support EU Integration,Scandal,Plagiarism,Gender,Male,Misreporting Funds,Neutral,Plagiarism,Female,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Conservative Party,Conservative Party,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,Conservative Party,Conservative Party
155.245.28.2,100,72,TRUE,2018/4/24 03:04,R_ZJGTuA17sjA8g8h,,,,,51.90859985,0.920898438,anonymous,EN,0,0,24.681,0,27.051,27.051,28.29,1,Prime Minister 1,20.186,20.186,21.135,1,Prime Minister 1,EU Integration,Support EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Neutral,Labour Party,Misreporting Funds,Female,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Minister's Scandal,No Scandal,Gender,Male,Oppose EU Integration,Labour Party,Having an Extramarital Affair,Female,Party Affiliation,Conservative Party,Scandal,Misreporting Funds,Labour Party,Plagiarism,Party Affiliation,Conservative Party,Scandal,No Scandal,Labour Party,Plagiarism
155.245.28.10,100,169,TRUE,2018/4/24 03:06,R_3FRMFEPQswBA6A9,,,,,51.90859985,0.920898438,anonymous,EN,0,0,27.047,0,15.127,15.127,16.093,1,Prime Minister 2,133.887,133.887,135.195,1,Prime Minister 1,Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Minister's Scandal,Sexual Harassment,No Scandal,Labour Party,Labour Party,Sexual Harassment,Scandal,Having an Extranarital Affair,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,No Scandal,No Scandal,Conservative Party,Conservative Party,Plagiarism,Gender,Male,EU Integration,Support EU Integration,Male,Neutral,Gender,Male,EU Integration,Neutral,Male,Oppose EU Integration
155.245.28.8,100,123,TRUE,2018/4/24 03:10,R_3JFus7MF0nSqohW,,,,,51.90859985,0.920898438,anonymous,EN,54.298,54.298,54.843,1,30.311,30.311,31.654,1,Prime Minister 1,28.077,29.034,29.624,2,Prime Minister 1,Minister's Partisanship,Labour Party,Gender,Male,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Labour Party,Female,Neutral,Labour Party,Minister's Partisanship,Labour Party,Gender,Female,EU Integration,Neutral,Party Affiliation,Labour Party,Liberal Democrats,Male,Oppose EU Integration,Conservative Party,Minister's Scandal,No Scandal,Scandal,No Scandal,No Scandal,Misreporting Funds,Minister's Scandal,Having an Extramarital Affair,Scandal,Misreporting Funds,Misreporting Funds,Plagiarism
155.245.28.4,100,29,TRUE,2018/4/24 03:31,R_YSmsfEq0JOk36JX,,,,,51.90859985,0.920898438,anonymous,EN,0,0,7.887,0,8.825,8.825,10.482,1,Prime Minister 1,8.063,8.063,9.461,1,Prime Minister 2,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Liberal Democrats,Neutral,Sexual Harassment,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Oppose EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Liberal Democrats,Oppose EU Integration,Sexual Harassment,Conservative Party,Gender,Male,Minister's Scandal,Misreporting Funds,Male,Plagiarism,Gender,Female,Minister's Scandal,Plagiarism,Male,Misreporting Funds
155.245.28.2,100,64,TRUE,2018/4/24 03:32,R_0AE5YIMVOebPzXP,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.702,0,8.752,8.752,10.157,1,Prime Minister 2,25.992,25.992,40.254,1,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Gender,Male,Scandal,Sexual Harassment,Labour Party,No Scandal,Male,Having an Extranarital Affair,Party Affiliation,Conservative Party,Minister's Scandal,Misreporting Funds,Gender,Male,Scandal,Misreporting Funds,Conservative Party,No Scandal,Male,Plagiarism,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Support EU Integration,Labour Party,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Oppose EU Integration,Liberal Democrats
155.245.28.9,100,61,TRUE,2018/4/24 03:33,R_r2NvXz8tbGqAgzD,,,,,51.90859985,0.920898438,anonymous,EN,0,0,27.515,0,6.769,6.769,8.484,1,Prime Minister 2,25.247,25.247,26.283,1,Prime Minister 2,Gender,Male,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Labour Party,Support EU Integration,Labour Party,Gender,Female,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Party Affiliation,Conservative Party,Female,Liberal Democrats,Oppose EU Integration,Conservative Party,Minister's Scandal,Misreporting Funds,Scandal,No Scandal,No Scandal,No Scandal,Minister's Scandal,Misreporting Funds,Scandal,Sexual Harassment,Misreporting Funds,No Scandal
155.245.28.10,100,73,TRUE,2018/4/24 03:34,R_1mkPZhZxyhdMkQY,,,,,51.90859985,0.920898438,anonymous,EN,0,0,50.339,0,13.23,13.23,14.797,1,Prime Minister 1,9.221,9.221,10.435,1,Prime Minister 1,Party Affiliation,Labour Party,EU Integration,Neutral,Scandal,Plagiarism,Minister's Partisanship,Labour Party,Conservative Party,Neutral,Plagiarism,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Conservative Party,Support EU Integration,No Scandal,Liberal Democrats,Minister's Scandal,Misreporting Funds,Gender,Female,No Scandal,Female,Minister's Scandal,Misreporting Funds,Gender,Female,Sexual Harassment,Male
155.245.28.2,100,74,TRUE,2018/4/24 04:04,R_2dtCGr3i3msS6XY,,,,,51.90859985,0.920898438,anonymous,EN,0,0,32.908,0,16.335,16.335,17.982,1,Prime Minister 1,25.494,25.494,26.682,1,Prime Minister 1,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Sexual Harassment,Conservative Party,Oppose EU Integration,Conservative Party,Scandal,Plagiarism,Party Affiliation,Labour Party,EU Integration,Neutral,Minister's Partisanship,Labour Party,No Scandal,Conservative Party,Neutral,Liberal Democrats,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Male,Misreporting Funds,Gender,Female,Minister's Scandal,Plagiarism,Female,Sexual Harassment
155.245.28.14,100,80,TRUE,2018/4/24 04:05,R_1F8r4z3RORf2Gof,,,,,51.90859985,0.920898438,anonymous,EN,50.813,51.748,58.22,2,11.375,11.375,13.202,1,Prime Minister 2,8.647,8.647,10.947,1,Prime Minister 2,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Support EU Integration,Minister's Scandal,Misreporting Funds,Labour Party,Labour Party,Support EU Integration,Misreporting Funds,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,EU Integration,Oppose EU Integration,Minister's Scandal,Sexual Harassment,Labour Party,Labour Party,Neutral,No Scandal,Scandal,Having an Extranarital Affair,Gender,Male,Misreporting Funds,Female,Scandal,Plagiarism,Gender,Male,Plagiarism,Male
155.245.28.8,100,108,TRUE,2018/4/24 04:05,R_2asjyCQqxL7XlmU,,,,,51.90859985,0.920898438,anonymous,EN,0,0,15.637,0,55.296,55.296,56.311,1,Prime Minister 2,38.865,38.865,40.525,1,Prime Minister 2,Scandal,No Scandal,EU Integration,Neutral,Minister's Scandal,Sexual Harassment,Party Affiliation,Conservative Party,Sexual Harassment,Oppose EU Integration,No Scandal,Labour Party,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,No Scandal,Oppose EU Integration,Misreporting Funds,Labour Party,Gender,Female,Minister's Partisanship,Liberal Democrats,Female,Labour Party,Gender,Male,Minister's Partisanship,Liberal Democrats,Female,Labour Party
155.245.28.4,100,75,TRUE,2018/4/24 04:06,R_3r1DLGg5b6beNPr,,,,,51.90859985,0.920898438,anonymous,EN,0,0,45.266,0,12.628,12.628,13.6,1,Prime Minister 2,16.539,16.539,19.143,1,Prime Minister 1,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,EU Integration,Neutral,Conservative Party,Having an Extranarital Affair,Conservative Party,Support EU Integration,Party Affiliation,Labour Party,Scandal,Misreporting Funds,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Conservative Party,Sexual Harassment,Liberal Democrats,Support EU Integration,Gender,Female,Minister's Scandal,Misreporting Funds,Female,Sexual Harassment,Gender,Female,Minister's Scandal,No Scandal,Male,No Scandal
155.245.28.10,100,84,TRUE,2018/4/24 04:06,R_3p4LCt4nlhYQumq,,,,,51.90859985,0.920898438,anonymous,EN,0,0,51.898,0,26.917,26.917,27.884,1,Prime Minister 1,6.013,6.013,7.679,1,Prime Minister 2,Party Affiliation,Conservative Party,Scandal,Having an Extranarital Affair,Gender,Female,Minister's Scandal,Having an Extramarital Affair,Conservative Party,Plagiarism,Female,Having an Extramarital Affair,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Gender,Male,Minister's Scandal,Plagiarism,Conservative Party,No Scandal,Female,Plagiarism,EU Integration,Neutral,Minister's Partisanship,Conservative Party,Support EU Integration,Conservative Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Labour Party,Neutral,Conservative Party
155.245.28.9,100,75,TRUE,2018/4/24 04:09,R_3G0zjvXKhp2cVr6,,,,,51.90859985,0.920898438,anonymous,EN,0,0,35.368,0,15.287,15.287,18.045,1,Prime Minister 1,21.612,21.612,23.787,1,Prime Minister 2,Minister's Partisanship,Labour Party,Party Affiliation,Labour Party,Gender,Female,Scandal,No Scandal,Liberal Democrats,Conservative Party,Male,Having an Extranarital Affair,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Gender,Male,Scandal,Plagiarism,Liberal Democrats,Conservative Party,Female,Sexual Harassment,EU Integration,Oppose EU Integration,Minister's Scandal,Misreporting Funds,Support EU Integration,Plagiarism,EU Integration,Support EU Integration,Minister's Scandal,Having an Extramarital Affair,Neutral,Sexual Harassment
155.245.28.11,100,69,TRUE,2018/4/24 04:11,R_z6Jh1xzwEVAFaP7,,,,,51.90859985,0.920898438,anonymous,EN,0,0,24.451,0,22.586,22.586,24.161,1,Prime Minister 2,20.417,20.417,23.074,1,Prime Minister 2,Scandal,Sexual Harassment,Minister's Scandal,Misreporting Funds,Gender,Female,Party Affiliation,Conservative Party,Plagiarism,Sexual Harassment,Male,Labour Party,Scandal,Having an Extranarital Affair,Minister's Scandal,Having an Extramarital Affair,Gender,Male,Party Affiliation,Conservative Party,No Scandal,Plagiarism,Female,Labour Party,EU Integration,Oppose EU Integration,Minister's Partisanship,Liberal Democrats,Support EU Integration,Labour Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Neutral,Labour Party
155.245.28.10,100,49,TRUE,2018/4/24 04:34,R_3IXYI4uFx8RL4Vw,,,,,51.90859985,0.920898438,anonymous,EN,0,0,14.447,0,16.586,16.586,18.296,1,Prime Minister 2,14.502,14.502,16.36,1,Prime Minister 1,Minister's Partisanship,Liberal Democrats,Scandal,Plagiarism,Party Affiliation,Conservative Party,Minister's Scandal,Sexual Harassment,Conservative Party,No Scandal,Conservative Party,No Scandal,Minister's Partisanship,Labour Party,Scandal,Plagiarism,Party Affiliation,Labour Party,Minister's Scandal,Having an Extramarital Affair,Labour Party,Plagiarism,Labour Party,No Scandal,Gender,Female,EU Integration,Neutral,Male,Support EU Integration,Gender,Female,EU Integration,Neutral,Female,Oppose EU Integration
