IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_First Click,Q3_Last Click,Q3_Page Submit,Q3_Click Count,Q4,Q5_First Click,Q5_Last Click,Q5_Page Submit,Q5_Click Count,Q6,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-1-5,F-1-1-5,F-1-6,F-1-1-6,F-1-2-5,F-1-2-6,F-2-5,F-2-1-5,F-2-6,F-2-1-6,F-2-2-5,F-2-2-6
155.245.28.4,100,53,TRUE,2018/4/24 03:04,R_SK1MQKO9X3uLE1X,,,,,51.90859985,0.920898438,anonymous,EN,15.115,15.115,18.217,1,Prime Minister 1,14.736,14.736,15.432,1,Prime Minister 1,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Scandal,No Scandal,Gender,Male,Oppose EU Integration,Conservative Party,Misreporting Funds,Female,EU Integration,Support EU Integration,Party Affiliation,Labour Party,Scandal,Plagiarism,Gender,Male,Support EU Integration,Labour Party,Misreporting Funds,Male,Minister's Partisanship,Liberal Democrats,Minister's Scandal,Misreporting Funds,Conservative Party,Misreporting Funds,Minister's Partisanship,Labour Party,Minister's Scandal,Plagiarism,Labour Party,Misreporting Funds
155.245.28.2,100,24,TRUE,2018/4/24 03:04,R_30km0Vt4lr4Murt,,,,,51.90859985,0.920898438,anonymous,EN,12.469,12.469,13.693,1,Prime Minister 1,8.663,8.663,9.933,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Minister's Partisanship,Conservative Party,Gender,Female,Scandal,Having an Extranarital Affair,Having an Extramarital Affair,Labour Party,Male,No Scandal,Minister's Scandal,No Scandal,Minister's Partisanship,Conservative Party,Gender,Male,Scandal,Plagiarism,Having an Extramarital Affair,Labour Party,Female,Misreporting Funds,EU Integration,Neutral,Party Affiliation,Conservative Party,Oppose EU Integration,Labour Party,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Neutral,Labour Party
155.245.28.10,100,16,TRUE,2018/4/24 03:06,R_21G37v3rGHM8WgQ,,,,,51.90859985,0.920898438,anonymous,EN,7.51,7.51,8.705,1,Prime Minister 1,5.402,5.402,6.471,1,Prime Minister 1,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Male,Misreporting Funds,Conservative Party,Liberal Democrats,Male,Minister's Scandal,Plagiarism,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Male,Sexual Harassment,Conservative Party,Conservative Party,Male,EU Integration,Neutral,Scandal,Having an Extranarital Affair,Oppose EU Integration,Misreporting Funds,EU Integration,Neutral,Scandal,Sexual Harassment,Neutral,No Scandal
155.245.28.8,100,31,TRUE,2018/4/24 03:11,R_3QxKWKG1S91IDxT,,,,,51.90859985,0.920898438,anonymous,EN,12.949,13.605,14.476,2,Prime Minister 1,16.227,16.227,17.102,1,Prime Minister 2,Minister's Scandal,No Scandal,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Female,Sexual Harassment,Labour Party,Labour Party,Female,Minister's Scandal,Misreporting Funds,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,Gender,Male,Having an Extramarital Affair,Conservative Party,Liberal Democrats,Female,Scandal,Plagiarism,EU Integration,Neutral,Plagiarism,Oppose EU Integration,Scandal,Sexual Harassment,EU Integration,Oppose EU Integration,Plagiarism,Support EU Integration
155.245.28.4,100,39,TRUE,2018/4/24 03:33,R_2QWmmalGexuSnvM,,,,,51.90859985,0.920898438,anonymous,EN,25.172,25.172,25.933,1,Prime Minister 2,13.318,13.318,14.253,1,Prime Minister 1,Gender,Female,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,EU Integration,Support EU Integration,Female,Liberal Democrats,Conservative Party,Support EU Integration,Gender,Male,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,EU Integration,Neutral,Male,Liberal Democrats,Conservative Party,Oppose EU Integration,Scandal,Sexual Harassment,Minister's Scandal,No Scandal,No Scandal,No Scandal,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,No Scandal,No Scandal
155.245.28.2,100,59,TRUE,2018/4/24 03:34,R_3IWQckEFAdf4AFK,,,,,51.90859985,0.920898438,anonymous,EN,38.273,41.038,42.168,3,Prime Minister 1,16.368,16.368,17.817,1,Prime Minister 1,Scandal,No Scandal,Minister's Partisanship,Conservative Party,EU Integration,Neutral,Minister's Scandal,No Scandal,Misreporting Funds,Labour Party,Oppose EU Integration,Having an Extramarital Affair,Scandal,Sexual Harassment,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Minister's Scandal,Plagiarism,No Scandal,Liberal Democrats,Neutral,Sexual Harassment,Party Affiliation,Conservative Party,Gender,Female,Labour Party,Male,Party Affiliation,Conservative Party,Gender,Male,Conservative Party,Female
155.245.28.9,100,29,TRUE,2018/4/24 03:34,R_Q0w9tdzVNErNMrL,,,,,51.90859985,0.920898438,anonymous,EN,22.602,22.602,24.111,1,Prime Minister 1,4.136,4.136,5.307,1,Prime Minister 2,EU Integration,Neutral,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Support EU Integration,Labour Party,Labour Party,Male,EU Integration,Support EU Integration,Party Affiliation,Conservative Party,Minister's Partisanship,Conservative Party,Gender,Male,Oppose EU Integration,Conservative Party,Liberal Democrats,Female,Scandal,Misreporting Funds,Minister's Scandal,Sexual Harassment,Having an Extranarital Affair,Sexual Harassment,Scandal,Plagiarism,Minister's Scandal,Plagiarism,Sexual Harassment,Having an Extramarital Affair
155.245.28.10,100,27,TRUE,2018/4/24 03:35,R_3RjCs4g7Ci4AAdF,,,,,51.90859985,0.920898438,anonymous,EN,12.242,12.242,14.105,1,Prime Minister 1,10.715,10.715,12.931,1,Prime Minister 1,Scandal,Plagiarism,Gender,Female,Minister's Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Plagiarism,Female,Misreporting Funds,Conservative Party,Scandal,No Scandal,Gender,Male,Minister's Scandal,Plagiarism,Party Affiliation,Conservative Party,Misreporting Funds,Male,Sexual Harassment,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Neutral,Conservative Party,EU Integration,Support EU Integration,Minister's Partisanship,Conservative Party,Oppose EU Integration,Liberal Democrats
155.245.28.2,100,37,TRUE,2018/4/24 04:05,R_1jcxD2OJeAgTngC,,,,,51.90859985,0.920898438,anonymous,EN,31.925,31.925,32.794,1,Prime Minister 1,2.723,2.723,5.239,1,Prime Minister 2,EU Integration,Support EU Integration,Scandal,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Neutral,Sexual Harassment,Conservative Party,Conservative Party,EU Integration,Support EU Integration,Scandal,No Scandal,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Support EU Integration,Misreporting Funds,Labour Party,Labour Party,Gender,Female,Minister's Scandal,No Scandal,Female,Plagiarism,Gender,Female,Minister's Scandal,Misreporting Funds,Male,Plagiarism
155.245.28.8,100,24,TRUE,2018/4/24 04:06,R_2SftUmSIFLjMfyL,,,,,51.90859985,0.920898438,anonymous,EN,10.622,10.622,11.938,1,Prime Minister 2,9.51,9.51,11.601,1,Prime Minister 1,Minister's Scandal,Having an Extramarital Affair,Party Affiliation,Conservative Party,Minister's Partisanship,Liberal Democrats,EU Integration,Support EU Integration,Having an Extramarital Affair,Labour Party,Labour Party,Neutral,Minister's Scandal,No Scandal,Party Affiliation,Labour Party,Minister's Partisanship,Labour Party,EU Integration,Support EU Integration,Misreporting Funds,Conservative Party,Liberal Democrats,Neutral,Scandal,Sexual Harassment,Gender,Female,Having an Extranarital Affair,Male,Scandal,Sexual Harassment,Gender,Male,Misreporting Funds,Female
155.245.28.14,100,48,TRUE,2018/4/24 04:06,R_phmY1kOJhEbCVGh,,,,,51.90859985,0.920898438,anonymous,EN,26.811,29.854,30.917,2,Prime Minister 2,16.558,16.558,18.325,1,Prime Minister 1,Gender,Male,EU Integration,Neutral,Scandal,Misreporting Funds,Party Affiliation,Conservative Party,Male,Neutral,Sexual Harassment,Labour Party,Gender,Female,EU Integration,Support EU Integration,Scandal,Having an Extranarital Affair,Party Affiliation,Conservative Party,Male,Neutral,Sexual Harassment,Labour Party,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Conservative Party,No Scandal,Labour Party,Minister's Scandal,No Scandal,Minister's Partisanship,Liberal Democrats,Plagiarism,Labour Party
155.245.28.10,100,30,TRUE,2018/4/24 04:07,R_sw174zCLJoWmTIJ,,,,,51.90859985,0.920898438,anonymous,EN,4.955,4.955,8.036,1,Prime Minister 1,14.36,19.362,22.826,2,Prime Minister 1,Minister's Partisanship,Conservative Party,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,Misreporting Funds,Labour Party,Labour Party,Having an Extramarital Affair,Plagiarism,Minister's Partisanship,Liberal Democrats,Party Affiliation,Conservative Party,Minister's Scandal,Plagiarism,Scandal,No Scandal,Liberal Democrats,Conservative Party,Having an Extramarital Affair,Plagiarism,EU Integration,Oppose EU Integration,Gender,Female,Neutral,Female,EU Integration,Oppose EU Integration,Gender,Male,Oppose EU Integration,Male
155.245.28.4,100,54,TRUE,2018/4/24 04:08,R_Dq7HMDVSAV8ar3H,,,,,51.90859985,0.920898438,anonymous,EN,44.136,44.136,45.744,1,Prime Minister 1,8.974,8.974,9.927,1,Prime Minister 2,Party Affiliation,Labour Party,Scandal,Plagiarism,Minister's Scandal,Sexual Harassment,Minister's Partisanship,Labour Party,Conservative Party,Sexual Harassment,No Scandal,Liberal Democrats,Party Affiliation,Labour Party,Scandal,Sexual Harassment,Minister's Scandal,Plagiarism,Minister's Partisanship,Labour Party,Conservative Party,Sexual Harassment,Misreporting Funds,Conservative Party,Gender,Female,EU Integration,Oppose EU Integration,Male,Oppose EU Integration,Gender,Male,EU Integration,Oppose EU Integration,Female,Oppose EU Integration
